Автоскло Сервіс	Автостекло Сервіс
заросла	Заросла
вулиця Олени Курило	вулиця Олені Курило
продовження дороги часів І СВ (завалена)	Продовження дороги часів І СВ (завалена)
до місця відпочинку	До місця відпочинку
вулиця Павла Филиповича	вулиця Павла Пилиповича
вулиця Владлена Кузнецова	вулиця Владлена Кузнєцова
Гагарина	Гагаріна
Школьная	Шкільна
Метизная	Метизна
Вулиця Олександра Оксанченка	вулиця Олександра Оксанченка
Заброшенный погреб	Занедбаний льох
Екостежка "Болото Ширковець"	Екостібка "Болото Ширковець"
Орлово	Орлове
Нєжданчік	Нєжданчик
Вулиця Чернігівська	вулиця Чернігівська
Северянская ОШ №1	Сіверянська ЗОШ №1
Кафе на Тургеневской	Кафе на Тургенєвській
Брод	Брід
Неймовірний вид	Неймовірний вигляд
Прохід заборонено, обхід до Старої Гути через туристичний маршрут зліва. Охороняється державною службою, йти не можна.	Прохід заборонено, обхід до Старої Гуті через туристичний маршрут зліва. Охороняється державною службою, йти не можна.
Радимо	Радімо
Луганские медоборы	Луганські медобори
Хороший	Гарний
Сеньор Ковер	Сеньйор Килим
Фишка	Фішка
жні стелі Labell	Жні стелі Labell
Парижской Комунны	Паризької Комуни
АвтоПрофи	Автопрофі
С	З
Довговойнилівська ЗОШ I-III ст.	Довговойнилівська ЗОШ І-ІІІ ст.
Склады	Склади
вулиця Архітектора Доценко	вулиця Архитектора Доценка
потребує перевірки (існувала пару років тому)	Потребує перевірки (існувала пару років тому)
вулиця Олени Апанович	вулиця Олені Апанович
провулок Д. Карвацького	провулок Д. Карвацького
ТОВ Малинспецбуд-3	ТОВ Малінспецбуд-3
Первый коммерческий центр	Перший комерційний центр
Лесси	Лессі
Matrёшка	Matrьошка
Жалюзи & ворота	Жалюзі & ворота
МФЦ Мои документы	МФЦ Мої документи
Солнышко	Сонечко
Екостежка Болото Ширковець	Екостібка Болото Ширковець
Гуртожиток ХНТУ № 1	Гуртожиток ХНТУ №1
Люблинський провулок	Люблінський провулок
Церква Св. Пантелеймона ПЦУ	Церковь Св. Пантелеймона ПЦУ
Республиканская улица	Республіканська вулиця
Ливарний цех	Ліварний цех
відсутня в сезоні 2023	Відсутня в сезоні 2023
Кислородная-2	Киснева-2
Польова (може переорюватись)	Польова (може переорюватися)
Яблунівське НВО "ЗОШ I-II ступенів - дитячий садочок"	Яблунівське НВО "ЗОШ І-ІІ ступенів - дитячий садочок"
Церква Адвентистів Сьомого Дня	Церква Адвентистів сьомого дня
Церква Св. Петра і Павла ПЦУ	Церква Св. Петра та Павла ПЦУ
Бревно	Колода
Пушкина	Пушкіна
Жемчужна вулиця	Перлина вулиця
Загонка для кабанов	Загін для кабанів
Закрытая школа поселка Новомутин	Закрита школа селища Новомутин
Остановка Поселок Новомутин	Зупинка Село Новомутин
Автобус 43: Станція метро «Видубичі» - селище Козин	Автобус 43: Станція метро "Видубичі" - село Козин.
Автобус 43: селище Козин - Станція метро «Видубичі»	Автобус 43: село Козин - Станція метро «Видубичі»
вулиця Павла Усенка	Вулиця Павла Усенка
Бобёр	Бобер
Само	Саме
Аптека-музеи	Аптека-музеї
Гуртожиток ХНТУ № 2	Гуртожиток ХНТУ №2
Вул. Заставна	вул. Заставна
Вища Духовна Семінарія Львівської Архідієцезії латинського обряду Св. Йосифа у Львові-Брюховичах	Вища Духовна Семінарія Львівської Архідієцезії латинського обряду Св. Йосипа у Львові-Брюховичах
Теологічний Інститут ім. Св. Архієпископа Йосипа Більчевського Львівської Архідієцезії латинського обряду	Теологічний інститут ім. Св. Архієпископа Йосипа Більчевського Львівської Архідієцезії латинського обряду
вулиця Бартдинова	вулиця Бартдінова
Озеро Артсклади	Озеро Артскладі
Трейл акаційовий	Трейл акаційний
Луганские Деликатесы	Луганські Делікатеси
Ленина	Леніна
Мухина	Мухіна
Магазин мінеральних вод "Солуки"	Магазин минеральних вод "Солуки"
ЗОШ I-IIIст. №1	ЗОШ І-ІІІст. №1
Витал	Вітав
Народный	Народний
Підручники і посібники	Підручники та посібники
вулиця Антоні Новосельського	вулиця Антоні Новосільського
Церква Воскреслого Христа	Церковь Воскреслого Христа
Кілійський центр культури і мистецтв «Скіф»	Кілійський центр культури та мистецтв «Скіф»
Горби	Горбі
Подільська вулиця	Подольська вулиця
Кислородная-1	Киснева-1
Водяний млин	Водяна млина
Театр на Оборонной	Театр на Оборонній
Урочищє Солов'їне	Урочище Солов'їні
улица Минская	вулиця Мінська
улица Малыныча	вулиця Малинича
Вулиця Ревуцького	вулиця Ревуцького
провулок Степана Ерастова	провулок Степана Єрастова
Володарского	Володарського
село Гута - гора Пасічна	село Гута – гора Пасічна
Памятник женщине-матери	Пам'ятник жінці-матері
вулиця Клавдії Радченко	вулиця Клавдії Радченка
Церковь Голгофа	Церква Голгофа
Кинотеатр Русь	Кінотеатр Русь
Смерикова вулиця	Смерікова вулиця
ст. м. "Видубичі"	Ст. м. "Видубичі"
бла бла кава	Бла бла кава
