провулок Крилова 1-й                      	1-й провулок Крилова
Гречаний провулок                         	провулок Гречаний
Дежньова провулок                         	провулок Дежньова
Добролюбова провулок                      	провулок Добролюбова
Дубровицький провулок                     	провулок Дубровицький
Жданова провулок                          	провулок Жданова
провулок Івана Мар’яненка                 	провулок Івана Марʼяненка
провулок Квітки-Основ’яненка              	провулок Квітки-Основʼяненка
Кудряшова провулок                        	провулок Кудряшова
Кулібіна провулок                         	провулок Кулібіна
Лермонтова провулок                       	провулок Лермонтова
Лодигіна провулок                         	провулок Лодигіна
Михайла Булгакова провулок                	провулок Михайла Булгакова
Мічуріна провулок                         	провулок Мічуріна
Попова провулок                           	провулок Попова
Радищева провулок                         	провулок Радищева
Свердлова провулок                        	провулок Свердлова
Сергія Параджанова провулок               	провулок Сергія Параджанова
Суворова провулок                         	провулок Суворова
Толбухіна провулок                        	провулок Толбухіна
Тропініна провулок                        	провулок Тропініна
Тургенєва провулок                        	провулок Тургенєва
Фадєєва провулок                          	провулок Фадєєва
Федосєєва провулок                        	провулок Федосєєва
Чаплигіна провулок                        	провулок Чаплигіна
Шаумяна провулок                          	провулок Шаумяна
Яблочкова провулок                        	провулок Яблочкова
Якова Щоголева провулок                   	провулок Якова Щоголева
Калиновий Ріг проїзд                      	проїзд Калиновий Ріг
40-річчя Жовтня проспект                  	проспект 40-річчя Жовтня
Академіка Глушкова проспект               	проспект Академіка Глушкова
Академіка Палладіна проспект              	проспект Академіка Палладіна
Проспект Алишера Навои                    	проспект Алішера Навої
проспект Возз’єднання                     	проспект Воззʼєднання
проспект Героїв Сталінграда               	проспект Героїв Сталінграду
Космонавта Комарова проспект              	проспект Космонавта Комарова
Миколи Бажана проспект                    	проспект Миколи Бажана
Юрія Гагаріна проспект                    	проспект Юрія Гагаріна
вул. Пухiвська                            	Пухівська вулиця
вулиця Пушкінська                         	Пушкінська вулиця
П’ятигорська вулиця                       	Пʼятигорська вулиця
П’ятигорський провулок                    	Пʼятигорський провулок
Слов’янська вулиця                        	Словʼянська вулиця
Солов’їна вулиця                          	Соловʼїна вулиця
Солом’янська вулиця                       	Соломʼянська вулиця
Солом’янська площа                        	Соломʼянська площа
вулиця Спартаківська                      	Спартаківська вулиця
Тираспольська вулиц                       	Тираспольська вулиця
Колпитська казарма урочище                	урочище Колпитська Казарма
