1 Махнівський провулок                                               	1-й Махнівський провулок
І. Богуна вулиця                                                     	вулиця І. Богуна
І. Калашника вулиця                                                  	вулиця І. Калашника
І. Печериці вулиця                                                   	вулиця І. Печериці
І. Прокоповича вулиця                                                	вулиця І. Прокоповича
І. Сікорського вулиця                                                	вулиця І. Сікорського
І. Франка вулиця                                                     	вулиця І. Франка
І.Богуна вулиця                                                      	вулиця І. Богуна
І.Богуна провулок                                                    	провулок І. Богуна
І.Савченка вулиця                                                    	вулиця І. Савченка
ІІІ-Гвардійська вулиця                                               	3-тя Гвардійська вулиця
Івана Багряного вулиця                                               	вулиця Івана Багряного
Івана Бевза вулиця                                                   	вулиця Івана Бевза
Івана Богуна вулиця                                                  	вулиця Івана Богуна
Івана Богуна провулок                                                	провулок Івана Богуна
Івана Бойка вулиця                                                   	вулиця Івана Бойка
Івана Виговського вулиця                                             	вулиця Івана Виговського
Івана Гонти вулиця                                                   	вулиця Івана Гонти
Івана Данилюка вулиця                                                	вулиця Івана Данилюка
Івана Данилюка провулок                                              	провулок Івана Данилюка
Івана Дзюби вулиця                                                   	вулиця Івана Дзюби
Івана Карпенка-Карого вулиця                                         	вулиця Івана Карпенка-Карого
Івана Котляревського вулиця                                          	вулиця Івана Котляревського
Івана Котляревського провулок                                        	провулок Івана Котляревського
Івана Мазепи вулиця                                                  	вулиця Івана Мазепи
Івана Мазепи провулок                                                	провулок Івана Мазепи
Івана Миколайчука вулиця                                             	вулиця Івана Миколайчука
Івана Миколайчука провулок                                           	провулок Івана Миколайчука
Івана Огієнка вулиця                                                 	вулиця Івана Огієнка
Івана Павла ІІ вулиця                                                	вулиця Івана Павла II
Івана Пулюя вулиця                                                   	вулиця Івана Пулюя
Івана Пулюя провулок                                                 	провулок Івана Пулюя
Івана Пулюя тупик                                                    	тупик Івана Пулюя
Івана Піддубного вулиця                                              	вулиця Івана Піддубного
Івана Підкови вулиця                                                 	вулиця Івана Підкови
Івана Світличного вулиця                                             	вулиця Івана Світличного
Івана Світличного провулок                                           	провулок Івана Світличного
Івана Сірка вулиця                                                   	вулиця Івана Сірка
Івана Сірка провулок                                                 	провулок Івана Сірка
Івана Федорова вулиця                                                	вулиця Івана Федорова
Івана Федорова провулок                                              	провулок Івана Федорова
Івана Франка вулиця                                                  	вулиця Івана Франка
Івана Франка провулок                                                	провулок Івана Франка
Івана Франко вулиця                                                  	вулиця Івана Франка
Івана Хоменка вулиця                                                 	вулиця Івана Хоменка
Івана Шиповича вулиця                                                	вулиця Івана Шиповича
Івана Щирського вулиця                                               	вулиця Івана Щирського
Івана Яковенка вулиця                                                	вулиця Івана Яковенка
Івана-Павла ІІ вулиця                                                	вулиця Івана-Павла II
Іванв Мазепи вулиця                                                  	вулиця Івана Мазепи
Івасюка вулиця                                                       	вулиця Івасюка
Ігоря Андріїшина вулиця                                              	вулиця Ігоря Андріїшина
Ігоря Костецького вулиця                                             	вулиця Ігоря Костецького
Ігоря Римара та Сергія Ковриги вулиця                                	вулиця Ігоря Римара та Сергія Ковриги
Ігоря Савченка провулок                                              	провулок Ігоря Савченка
Ігоря Сікорського вулиця                                             	вулиця Ігоря Сікорського
Іллі Антонюка вулиця                                                 	вулиця Іллі Антонюка
Іоана Богослова вулиця                                               	вулиця Іоана Богослова
Іскри і Кочубея вулиця                                               	вулиця Іскри і Кочубея
Ісмаїла Гаспринського вулиця                                         	вулиця Ісмаїла Гаспринського
Ісмаїла Гаспринського провулок                                       	провулок Ісмаїла Гаспринського
Їжаківського вулиця                                                  	вулиця Їжаківського
А. Грубого вулиця                                                    	вулиця А. Грубого
А. Добраня вулиця                                                    	вулиця А. Добраня
Автомобілістів вулиця                                                	вулиця Автомобілістів
Агатангела Кримського вулиця                                         	вулиця Агатангела Кримського
Агатангела Кримського провулок                                       	провулок Агатангела Кримського
Аграрана вулиця                                                      	Аграрна вулиця
Айвазовського вулиця                                                 	вулиця Айвазовського
Академіка Боголюбова вулиця                                          	вулиця Академіка Боголюбова
Академіка Буняковського вулиця                                       	вулиця Академіка Буняковського
Академіка Вернадського вулиця                                        	вулиця Академіка Вернадського
Академіка Заболотного вулиця                                         	вулиця Академіка Заболотного
Академіка Заболотного провулок                                       	провулок Академіка Заболотного
Академіка Павлова вулиця                                             	вулиця Академіка Павлова
Академіка Ющенка вулиця                                              	вулиця Академіка Ющенка
Академіка Янгеля вулиця                                              	вулиця Академіка Янгеля
Академіка Янгеля провулок                                            	провулок Академіка Янгеля
Алеї вулиця                                                          	вулиця Алеї
Алли Горської вулиця                                                 	вулиця Алли Горської
Альферова вулиця                                                     	вулиця Альферова
Амосова вулиця                                                       	вулиця Амосова
Амосова провулок                                                     	провулок Амосова
Анастасії Медвідь вулиця                                             	вулиця Анастасії Медвідь
Анатолія Базилевича вулиця                                           	вулиця Анатолія Базилевича
Анатолія Бортняка вулиця                                             	вулиця Анатолія Бортняка
Анатолія Обухова вулиця                                              	вулиця Анатолія Обухова
Анатолія Пачевського вулиця                                          	вулиця Анатолія Пачевського
Анатолія Свидницького вулиця                                         	вулиця Анатолія Свидницького
Анатолія Черниша вулиця                                              	вулиця Анатолія Черниша
Андрея Шептицького вулиця                                            	вулиця Андрея Шептицького
Андрея Шептицького провулок                                          	провулок Андрея Шептицького
Андрійчука вулиця                                                    	вулиця Андрійчука
Андрія Долейка вулиця                                                	вулиця Андрія Долейка
Андрія Малишка вулиця                                                	вулиця Андрія Малишка
Андрія Первозванного вулиця                                          	вулиця Андрія Первозванного
Андрія Шептицького вулиця                                            	вулиця Андрія Шептицького
Антона Листопада вулиця                                              	вулиця Антона Листопада
Антона Листопада провулок                                            	провулок Антона Листопада
Антона Турчановича вулиця                                            	вулиця Антона Турчановича
Антоновича вулиця                                                    	вулиця Антоновича
Антоновича провулок                                                  	провулок Антоновича
Антонця вулиця                                                       	вулиця Антонця
Антонінка вулиця                                                     	вулиця Антонінка
Артема вулиця                                                        	вулиця Артема
Артема провулок                                                      	провулок Артема
Артура Венжика вулиця                                                	вулиця Артура Венжика
Архитектора Кобелєва вулиця                                          	вулиця Архітектора Кобелєва
Архитектора Кобелєва провулок                                        	провулок Архітектора Кобелєва
Архітектора Артинова вулиця                                          	вулиця Архітектора Артинова
Архітектора Кеди вулиця                                              	вулиця Архітектора Кеди
Аріадни Стебельської вулиця                                          	вулиця Аріадни Стебельської
Асмолова вулиця                                                      	вулиця Асмолова
Б. Хмельницького вулиця                                              	вулиця Б. Хмельницького
Б.Шуляка вулиця                                                      	вулиця Б. Шуляка
Бабаджаняна вулиця                                                   	вулиця Бабаджаняна
Бабія вулиця                                                         	вулиця Бабія
Багаутдіна Мітарова вулиця                                           	вулиця Багаутдіна Мітарова
Баженова вулиця                                                      	вулиця Баженова
Баженова провулок                                                    	провулок Баженова
Бакалова вулиця                                                      	вулиця Бакалова
Баранова вулиця                                                      	вулиця Баранова
Барляєва вулиця                                                      	вулиця Барляєва
Баумана вулиця                                                       	вулиця Баумана
Бевза вулиця                                                         	вулиця Бевза
Берегового вулиця                                                    	вулиця Берегового
Березовського вулиця                                                 	вулиця Березовського
Березівка вулиця                                                     	вулиця Березівка
Бернарда Претвича вулиця                                             	вулиця Бернарда Претвича
Бернарда Претвича провулок                                           	провулок Бернарда Претвича
Берута провулок                                                      	провулок Берута
Бесарабова вулиця                                                    	вулиця Бесарабова
Бестужева вулиця                                                     	вулиця Бестужева
Бистрицького вулиця                                                  	вулиця Бистрицького
Бичковського вулиця                                                  	вулиця Бичковського
Блока вулиця                                                         	вулиця Блока
Блюхера вулиця                                                       	вулиця Блюхера
Боброва вулиця                                                       	вулиця Боброва
Богачука вулиця                                                      	вулиця Богачука
Богдана Іщука вулиця                                                 	вулиця Богдана Іщука
Богдана Ступки вулиця                                                	вулиця Богдана Ступки
Богдана Хмельницкого вулиця                                          	вулиця Богдана Хмельницкого
Богдана Хмельницького вулиця                                         	вулиця Богдана Хмельницького
Богдана Хмельницького провулок                                       	провулок Богдана Хмельницького
Богомольця вулиця                                                    	вулиця Богомольця
Богомольця провулок                                                  	провулок Богомольця
Богомольця тупик                                                     	тупик Богомольця
Богуна вулиця                                                        	вулиця Богуна
Боженка вулиця                                                       	вулиця Боженка
Боженко вулиця                                                       	вулиця Боженко
Бойка вулиця                                                         	вулиця Бойка
Бони Сфорци вулиця                                                   	вулиця Бони Сфорци
Бориса Гмирі вулиця                                                  	вулиця Бориса Гмирі
Бориса Грінченка вулиця                                              	вулиця Бориса Грінченка
Бориса Крижевого вулиця                                              	вулиця Бориса Крижевого
Бориса Лук’яновського вулиця                                         	вулиця Бориса Лукʼяновського
Бориса Олійника вулиця                                               	вулиця Бориса Олійника
Бориса Шкляра вулиця                                                 	вулиця Бориса Шкляра
Борівка вулиця                                                       	вулиця Борівка
Братерства вулиця                                                    	вулиця Братерства
Братів Западинських вулиця                                           	вулиця Братів Западинських
Братів Катеренюків вулиця                                            	вулиця Братів Катеренюків
Братів Кислюків вулиця                                               	вулиця Братів Кислюків
Братів Котенків вулиця                                               	вулиця Братів Котенків
Братів Котенків провулок                                             	провулок Братів Котенків
Братів Лопушанів вулиця                                              	вулиця Братів Лопушанів
Братів Мельників вулиця                                              	вулиця Братів Мельників
Братів Михайлишиних вулиця                                           	вулиця Братів Михайлишиних
Братів Михайлюків вулиця                                             	вулиця Братів Михайлюків
Братів Обухів вулиця                                                 	вулиця Братів Обухів
Братів Павленків вулиця                                              	вулиця Братів Павленків
Броніцького вулиця                                                   	вулиця Броніцького
Бублікова вулиця                                                     	вулиця Бублікова
Будкевича вулиця                                                     	вулиця Будкевича
Будьонного вулиця                                                    	вулиця Будьонного
Будьоного вулиця                                                     	вулиця Будьоного
Будівельників вулиця                                                 	вулиця Будівельників
Будівельників провулок                                               	провулок Будівельників
Буняковського вулиця                                                 	вулиця Буняковського
Бурти вулиця                                                         	вулиця Бурти
Бучми вулиця                                                         	вулиця Бучми
Бучми провулок                                                       	провулок Бучми
Буянова вулиця                                                       	вулиця Буянова
Бєлінського вулиця                                                   	вулиця Бєлінського
Білоченка вулиця                                                     	вулиця Білоченка
Білошкурського вулиця                                                	вулиця Білошкурського
В'ячеслава Чорновола вулиця                                          	вулиця Вʼячеслава Чорновола
В. Земляка вулиця                                                    	вулиця В. Земляка
В. Котика вулиця                                                     	вулиця В. Котика
В. Котика провулок                                                   	провулок В. Котика
В. Кузьмінова вулиця                                                 	вулиця В. Кузьмінова
В. Наумова провулок                                                  	провулок В. Наумова
В. С. Драгомира вулиця                                               	вулиця В. С. Драгомира
В. Семенюка вулиця                                                   	вулиця В. Семенюка
В. Стуса вулиця                                                      	вулиця В. Стуса
В. Терешкової вулиця                                                 	вулиця В. Терешкової
В. Чорновола вулиця                                                  	вулиця В. Чорновола
В.Ілика вулиця                                                       	вулиця В. Ілика
В.Беделя вулиця                                                      	вулиця В. Беделя
В.Косіянчука вулиця                                                  	вулиця В. Косіянчука
В.М.Кавуна вулиця                                                    	вулиця В. М. Кавуна
В.Соколовського вулиця                                               	вулиця В. Соколовського
В.Сосюри вулиця                                                      	вулиця В. Сосюри
Вадима Нестерчука вулиця                                             	вулиця Вадима Нестерчука
Вадима Нестерчука провулок                                           	провулок Вадима Нестерчука
Вадима Олійника вулиця                                               	вулиця Вадима Олійника
Ваксмана вулиця                                                      	вулиця Ваксмана
Валентина Білошкурського вулиця                                      	вулиця Валентина Білошкурського
Валентина Комарова вулиця                                            	вулиця Валентина Комарова
Валентина Отамановського вулиця                                      	вулиця Валентина Отамановського
Валентини Грабовської вулиця                                         	вулиця Валентини Грабовської
Валеріана Боржковського вулиця                                       	вулиця Валеріана Боржковського
Валерія Брезденюка вулиця                                            	вулиця Валерія Брезденюка
Валерія Лобановського вулиця                                         	вулиця Валерія Лобановського
Валі Котик вулиця                                                    	вулиця Валі Котика
Валі Котика вулиця                                                   	вулиця Валі Котика
Василя Барки вулиця                                                  	вулиця Василя Барки
Василя Барки провулок                                                	провулок Василя Барки
Василя Гречулевича вулиця                                            	вулиця Василя Гречулевича
Василя Думанського вулиця                                            	вулиця Василя Думанського
Василя Копитка вулиця                                                	вулиця Василя Копитка
Василя Кричевського вулиця                                           	вулиця Василя Кричевського
Василя Кричевського провулок                                         	провулок Василя Кричевського
Василя Кулака вулиця                                                 	вулиця Василя Кулака
Василя Липківського вулиця                                           	вулиця Василя Липківського
Василя Пирогова вулиця                                               	вулиця Василя Пирогова
Василя Порика вулиця                                                 	вулиця Василя Порика
Василя Сильвестрова вулиця                                           	вулиця Василя Сильвестрова
Василя Симоненка вулиця                                              	вулиця Василя Симоненка
Василя Симоненка провулок                                            	провулок Василя Симоненка
Василя Сліпака вулиця                                                	вулиця Василя Сліпака
Василя Стефаника вулиця                                              	вулиця Василя Стефаника
Василя Стуса вулиця                                                  	вулиця Василя Стуса
Василя Тютюнника вулиця                                              	вулиця Василя Тютюнника
Василя Хмелюка вулиця                                                	вулиця Василя Хмелюка
Василівка вулиця                                                     	вулиця Василівка
Васьковського вулиця                                                 	вулиця Васьковського
Васютинських вулиця                                                  	вулиця Васютинських
Ватутіна вулиця                                                      	вулиця Ватутіна
Ватутіна провулок                                                    	провулок Ватутіна
Вацлава Гавела вулиця                                                	вулиця Вацлава Гавела
Вацлава Гавела провулок                                              	провулок Вацлава Гавела
Верещагіна провулок                                                  	провулок Верещагіна
Верлана вулиця                                                       	вулиця Верлана
Вернадського вулиця                                                  	вулиця Вернадського
Вернадського провулок                                                	провулок Вернадського
Верхарна вулиця                                                      	вулиця Верхарна
Веселівка вулиця                                                     	вулиця Веселівка
Весилий Хутір вулиця                                                 	вулиця Веселий Хутір
Ветеранів Війни вулиця                                               	вулиця Ветеранів Війни
Ветеранів вулиця                                                     	вулиця Ветеранів
Визволення вулиця                                                    	вулиця Визволення
Визволителів вулиця                                                  	вулиця Визволителів
Винниченка вулиця                                                    	вулиця Винниченка
Високовича вулиця                                                    	вулиця Високовича
Висоцького вулиця                                                    	вулиця Висоцького
Вишенька вулиця                                                      	вулиця Вишенька
Вишенька провулок                                                    	провулок Вишенька
Вишневий Сад проїзд                                                  	проїзд Вишневий Сад
Вишневського вулиця                                                  	вулиця Вишневського
Владислава Городецького вулиця                                       	вулиця Владислава Городецького
Водоп’янова вулиця                                                   	вулиця Водопʼянова
Возз’єднання вулиця                                                  	вулиця Воззʼєднання
Вознюка вулиця                                                       	вулиця Вознюка
Войкова вулиця                                                       	вулиця Войкова
Войкова провулок                                                     	провулок Войкова
Войцехівського вулиця                                                	вулиця Войцехівського
Волинця вулиця                                                       	вулиця Волинця
Волкова вулиця                                                       	вулиця Волкова
Володарського вулиця                                                 	вулиця Володарського
Володимира Івасюка вулиця                                            	вулиця Володимира Івасюка
Володимира Івасюка провулок                                          	провулок Володимира Івасюка
Володимира Антоновича вулиця                                         	вулиця Володимира Антоновича
Володимира Великого вулиця                                           	вулиця Володимира Великого
Володимира Винниченка вулиця                                         	вулиця Володимира Винниченка
Володимира Забаштанського вулиця                                     	вулиця Володимира Забаштанського
Володимира Киянка вулиця                                             	вулиця Володимира Киянка
Володимира Маняка вулиця                                             	вулиця Володимира Маняка
Володимира Полупанова вулиця                                         	вулиця Володимира Полупанова
Володимира Свідзінського вулиця                                      	вулиця Володимира Свідзінського
Володимира Сліпенчука вулиця                                         	вулиця Володимира Сліпенчука
Володимира Стеценка вулиця                                           	вулиця Володимира Стеценка
Володимира Черкасова вулиця                                          	вулиця Володимира Черкасова
Волонтерів вулиця                                                    	вулиця Волонтерів
Воровського вулиця                                                   	вулиця Воровського
Вороніна вулиця                                                      	вулиця Вороніна
Ворошилова вулиця                                                    	вулиця Ворошилова
Воїнів-добровольців вулиця                                           	вулиця Воїнів-Добровольців
Воїнів-інтернаціоналістів вулиця                                     	вулиця Воїнів-Інтернаціоналістів
Врублевського вулиця                                                 	вулиця Врублевського
Врублевського провулок                                               	провулок Врублевського
Всеволода Нестайка вулиця                                            	вулиця Всеволода Нестайка
Відродження вулиця                                                   	вулиця Відродження
Віктора Блащука вулиця                                               	вулиця Віктора Блащука
Вінницьке лісництво вулиця                                           	вулиця Вінницьке Лісництво
Віталія Печенюка вулиця                                              	вулиця Віталія Печенюка
Віталія Примакова вулиця                                             	вулиця Віталія Примакова
Вішенька провулок                                                    	провулок Вішенька
В’ячеслава Катрича вулиця                                            	вулиця Вʼячеслава Катрича
В’ячеслава Чорновола вулиця                                          	вулиця Вʼячеслава Чорновола
Г. Лободи вулиця                                                     	вулиця Г. Лободи
Г. Сковороди вулиця                                                  	вулиця Г. Сковороди
Г.Морозової вулиця                                                   	вулиця Г. Морозової
ГЕС провулок                                                         	провулок ГЕС
Гаврилюка Ігоря вулиця                                               	вулиця Ігоря Гаврилюка
Гавришко вулиця                                                      	вулиця Гавришко
Гагагіна вулиця                                                      	вулиця Гагаріна
Гагаріна вулиця                                                      	вулиця Гагаріна
Гагаріна площа                                                       	площа Гагаріна
Гагаріна провулок                                                    	провулок Гагаріна
Гагаріна проїзд                                                      	проїзд Гагаріна
Газовиків проїзд                                                     	проїзд Газовиків
Гайдамацький провулок                                                	провулок Гайдамацький
Гайдара вулиця                                                       	вулиця Гайдара
Гайдара тупик                                                        	тупик Гайдара
Галицьких Вояків вулиця                                              	вулиця Галицьких Вояків
Галицьких Стрільців вулиця                                           	вулиця Галицьких Стрільців
Галицького провулок                                                  	провулок Галицького
Гаркушина вулиця                                                     	вулиця Гаркушина
Гарника вулиця                                                       	вулиця Гарника
Гастелло вулиця                                                      	вулиця Гастелло
Гейдена вулиця                                                       	вулиця Гейдена
Генадія Ніколайчука вулиця                                           	вулиця Генадія Ніколайчука
Генерала Арабея вулиця                                               	вулиця Генерала Арабея
Генерала Безручка вулиця                                             	вулиця Генерала Безручка
Генерала Безручка провулок                                           	провулок Генерала Безручка
Генерала Безручка проїзд                                             	проїзд Генерала Безручка
Генерала Гандзюка вулиця                                             	вулиця Генерала Гандзюка
Генерала Григоренка вулиця                                           	вулиця Генерала Григоренка
Генерала Григоренка провулок                                         	провулок Генерала Григоренка
Генерала Дерев’янка вулиця                                           	вулиця Генерала Деревʼянка
Генерала Дерев’янка провулок                                         	провулок Генерала Деревʼянка
Генерала Заболотного вулиця                                          	вулиця Генерала Заболотного
Генерала Трейка вулиця                                               	вулиця Генерала Трейка
Георгія Нарбута вулиця                                               	вулиця Георгія Нарбута
Георгія Нарбута провулок                                             	провулок Георгія Нарбута
Герасимчука вулиця                                                   	вулиця Герасимчука
Героїв Афганістану вулиця                                            	вулиця Героїв Афганістану
Героїв Крут вулиця                                                   	вулиця Героїв Крут
Героїв Крут тупик                                                    	тупик Героїв Крут
Героїв Майдану вулиця                                                	вулиця Героїв Майдану
Героїв Майдану площа                                                 	площа Героїв Майдану
Героїв Майдану провулок                                              	провулок Героїв Майдану
Героїв Нацгвардії вулиця                                             	вулиця Героїв Нацгвардії
Героїв Небесної Сотні вулиця                                         	вулиця Героїв Небесної Сотні
Героїв Сталінграда площа                                             	площа Героїв Сталінграду
Героїв України вулиця                                                	вулиця Героїв України
Героїв України провулок                                              	провулок Героїв України
