Підгаєцький-1 провулок                                                                        	1-й Підгаєцький провулок
вулиця Левка Лук'яненка                                                                       	вулиця Левка Лукʼяненка
Левка Лук'яненка вулиця                                                                       	вулиця Левка Лукʼяненка
Леніна вулиця                                                                                 	вулиця Леніна
Lenina Street;Lenin Street;Леніна вулиця;Ленина улица                                         	вулиця Леніна
Леоніда Каденюка вулиця                                                                       	вулиця Леоніда Каденюка
Леоніда Пелеха вулиця                                                                         	вулиця Леоніда Пелеха
Леоніда Ступницького вулиця                                                                   	вулиця Леоніда Ступницького
Леонтовича вулиця                                                                             	вулиця Леонтовича
Лепішка вулиця                                                                                	вулиця Лепішка
Лермонтова вулиця                                                                             	вулиця Лермонтова
Лесі Украінки вулиця                                                                          	вулиця Лесі Українки
Лесі Українки вулиця                                                                          	вулиця Лесі Українки
ЛЕСІ УКРАЇНКИ вулиця                                                                          	вулиця Лесі Українки
Лєрмонтова вулиця                                                                             	вулиця Лєрмонтова
Липки вулиця                                                                                  	вулиця Липки
Липського вулиця                                                                              	вулиця Липського
Лисенка вулиця                                                                                	вулиця Лисенка
Лідії Спаської вулиця                                                                         	вулиця Лідії Спаської
Лізи Чайкіної вулиця                                                                          	вулиця Лізи Чайкіної
Лісовської вулиця                                                                             	вулиця Лісовської
Лісок вулиця                                                                                  	вулиця Лісок
Ломоносова вулиця                                                                             	вулиця Ломоносова
Лукашева вулиця                                                                               	вулиця Лукашева
Льва Толстого вулиця                                                                          	вулиця Льва Толстого
Любомира Гузара вулиця                                                                        	вулиця Любомира Гузара
М.Вершила вулиця                                                                              	вулиця М. Вершила
Мазепи вулиця                                                                                 	вулиця Мазепи
Майковського вулиця                                                                           	вулиця Майковського
Макаренка вулиця                                                                              	вулиця Макаренка
Макарова вулиця                                                                               	вулиця Макарова
Максима Абрамовича вулиця                                                                     	вулиця Максима Абрамовича
Максима Березовського вулиця                                                                  	вулиця Максима Березовського
Максима Кривоноса вулиця                                                                      	вулиця Максима Кривоноса
Максима Рильського вулиця                                                                     	вулиця Максима Рильського
Малишка вулиця                                                                                	вулиця Малишка
Мандрика вулиця                                                                               	вулиця Мандрика
Мануїльського вулиця                                                                          	вулиця Мануїльського
Маргосюків вулиця                                                                             	вулиця Маргосюків
Марка Безручка вулиця                                                                         	вулиця Марка Безручка
Марка Вовчка вулиця                                                                           	вулиця Марка Вовчка
Маркелова вулиця                                                                              	вулиця Маркелова
Марко Вовчок вулиця                                                                           	вулиця Марко Вовчок
Маркова вулиця                                                                                	вулиця Маркова
Мартинівка вулиця                                                                             	вулиця Мартинівка
Марусі Чурай вулиця                                                                           	вулиця Марусі Чурай
Марфи Струтинської вулиця                                                                     	вулиця Марфи Струтинської
Мар’янка вулиця                                                                               	вулиця Марʼянка
Матросова вулиця                                                                              	вулиця Матросова
Мацути вулиця                                                                                 	вулиця Мацути
Маяковського вулиця                                                                           	вулиця Маяковського
Меліоратів вулиця                                                                             	вулиця Меліоратів
Меліораторів вулиця                                                                           	вулиця Меліораторів
Менделеєва вулиця                                                                             	вулиця Менделеєва
Менделєєва вулиця                                                                             	вулиця Менделєєва
Механізаторів вулиця                                                                          	вулиця Механізаторів
Миколая Коперника вулиця                                                                      	вулиця Миколая Коперника
Миколи Амосова вулиця                                                                         	вулиця Миколи Амосова
Миколи Зерова вулиця                                                                          	вулиця Миколи Зерова
Миколи Карнаухова вулиця                                                                      	вулиця Миколи Карнаухова
Миколи Костомарова вулиця                                                                     	вулиця Миколи Костомарова
Миколи Леонтовича вулиця                                                                      	вулиця Миколи Леонтовича
Миколи Лисенка вулиця                                                                         	вулиця Миколи Лисенка
Миколи Міхновського вулиця                                                                    	вулиця Миколи Міхновського
Миколи Негребецького вулиця                                                                   	вулиця Миколи Негребецького
Миколи Орлова вулиця                                                                          	вулиця Миколи Орлова
Миколи Хвильового вулиця                                                                      	вулиця Миколи Хвильового
Миколи Шугаєвського вулиця                                                                    	вулиця Миколи Шугаєвського
Мирного вулиця                                                                                	вулиця Мирного
Мирона Куца вулиця                                                                            	вулиця Мирона Куца
Мирослава Скорика вулиця                                                                      	вулиця Мирослава Скорика
Миру вулиця                                                                                   	вулиця Миру
Митрополита Борецького вулиця                                                                 	вулиця Митрополита Борецького
Митрополита Шептицького вулиця                                                                	вулиця Митрополита Шептицького
Михайла Вербицького вулиця                                                                    	вулиця Михайла Вербицького
Михайла Врубеля вулиця                                                                        	вулиця Михайла Врубеля
Михайла Глінки вулиця                                                                         	вулиця Михайла Глінки
Михаила Грушевского вулиця                                                                    	вулиця Михайла Грушевського
Михайла Грушевського вулиця                                                                   	вулиця Михайла Грушевського
Михайла Драгоманова вулиця                                                                    	вулиця Михайла Драгоманова
Михайла Коцюбинського вулиця                                                                  	вулиця Михайла Коцюбинського
Михайла Лермонтова вулиця                                                                     	вулиця Михайла Лермонтова
Михайла Михайлика вулиця                                                                      	вулиця Михайла Михайлика
Михайла Старицького вулиця                                                                    	вулиця Михайла Старицького
Михайла Тучемського вулиця                                                                    	вулиця Михайла Тучемського
Мірющенка вулиця                                                                              	вулиця Мірющенка
Міцкевича вулиця                                                                              	вулиця Міцкевича
Мічуріна вулиця                                                                               	вулиця Мічуріна
Можайського вулиця                                                                            	вулиця Можайського
Мойсея Базіна вулиця                                                                          	вулиця Мойсея Базіна
Морозенка вулиця                                                                              	вулиця Морозенка
Набивка вулиця                                                                                	вулиця Набивка
Нагрощина вулиця                                                                              	вулиця Нагрощина
Надії вулиця                                                                                  	вулиця Надії
Надстав вулиця                                                                                	вулиця Надстав
Назара Небожинського вулиця                                                                   	вулиця Назара Небожинського
Назара Шевченка вулиця                                                                        	вулиця Назара Шевченка
Назарука вулиця                                                                               	вулиця Назарука
Наливайка вулиця                                                                              	вулиця Наливайка
Нараївка вулиця                                                                               	вулиця Нараївка
Наумчука вулиця                                                                               	вулиця Наумчука
Нахімова вулиця                                                                               	вулиця Нахімова
Нації Нескорених вулиця                                                                       	вулиця Нації Нескорених
Небесної сотні вулиця                                                                         	вулиця Небесної Сотні
Небесної Сотні вулиця                                                                         	вулиця Небесної Сотні
Невського вулиця                                                                              	вулиця Невського
Незалежності вулиця                                                                           	вулиця Незалежності
Некрасова вулиця                                                                              	вулиця Некрасова
Неофіта Кибалюка вулиця                                                                       	вулиця Неофіта Кибалюка
Несвицької вулиця                                                                             	вулиця Несвицької
Нестерова вулиця                                                                              	вулиця Нестерова
Нечая вулиця                                                                                  	вулиця Нечая
Никончука вулиця                                                                              	вулиця Никончука
Ничогівка вулиця                                                                              	вулиця Ничогівка
Ніла Хасевича вулиця                                                                          	вулиця Ніла Хасевича
Нова-1 вулиця                                                                                 	вулиця Нова-1
Нова-2 вулиця                                                                                 	вулиця Нова-2
Новака вулиця                                                                                 	вулиця Новака
Новий План вулиця                                                                             	вулиця Новий План
Новини вулиця                                                                                 	вулиця Новини
Новопроектова вулиця                                                                          	вулиця Новопроектова
Новоселиця вулиця                                                                             	вулиця Новоселиця
Новоселів вулиця                                                                              	вулиця Новоселів
Ньютона вулиця                                                                                	вулиця Ньютона
О. Антонова вулиця                                                                            	вулиця О. Антонова
О.Лятуринської вулиця                                                                         	вулиця О. Лятуринської
О.Теліги вулиця                                                                               	вулиця О. Теліги
О. Тихого вулиця                                                                              	вулиця О. Тихого
Огієнка вулиця                                                                                	вулиця Огієнка
Огороднікова вулиця                                                                           	вулиця Огороднікова
Огрод вулиця                                                                                  	вулиця Огрод
Оксани Лятуринської вулиця                                                                    	вулиця Оксани Лятуринської
Олега Дудєя вулиця                                                                            	вулиця Олега Дудєя
Олега Ольжича вулиця                                                                          	вулиця Олега Ольжича
Олега Тарасюка вулиця                                                                         	вулиця Олега Тарасюка
Олеко Дундича вулиця                                                                          	вулиця Олеко Дундича
Олександра Богачука вулиця                                                                    	вулиця Олександра Богачука
Олександра Борисенка вулиця                                                                   	вулиця Олександра Борисенка
Олександра Васильєва вулиця                                                                   	вулиця Олександра Васильєва
Олександра Довженка вулиця                                                                    	вулиця Олександра Довженка
Олександра Лабунського вулиця                                                                 	вулиця Олександра Лабунського
Олександра Матросова вулиця                                                                   	вулиця Олександра Матросова
Олександра Олеся вулиця                                                                       	вулиця Олександра Олеся
Олександра Федіна вулиця                                                                      	вулиця Олександра Федіна
Олександра Храпаченка вулиця                                                                  	вулиця Олександра Храпаченка
Олекси Довбуша вулиця                                                                         	вулиця Олекси Довбуша
Олекси Новака вулиця                                                                          	вулиця Олекси Новака
Олексія Андреєва вулиця                                                                       	вулиця Олексія Андреєва
Олексія Кірися вулиця                                                                         	вулиця Олексія Кірися
Олени Пчілки вулиця                                                                           	вулиця Олени Пчілки
Олени Теліги вулиця                                                                           	вулиця Олени Теліги
Олеся Гончара вулиця                                                                          	вулиця Олеся Гончара
Ольги Кобилянської вулиця                                                                     	вулиця Ольги Кобилянської
Ольжича вулиця                                                                                	вулиця Ольжича
Орлика вулиця                                                                                 	вулиця Орлика
Орлова вулиця                                                                                 	вулиця Орлова
Оршанської Перемоги вулиця                                                                    	вулиця Оршанської Перемоги
Освіти вулиця                                                                                 	вулиця Освіти
Оселя вулиця                                                                                  	вулиця Оселя
Осередок вулиця                                                                               	вулиця Осередок
Осипенко вулиця                                                                               	вулиця Осипенко
Остапа Вересая вулиця                                                                         	вулиця Остапа Вересая
Остапа Вишні вулиця                                                                           	вулиця Остапа Вишні
Остафова вулиця                                                                               	вулиця Остафова
Осташівка вулиця                                                                              	вулиця Осташівка
Островського вулиця                                                                           	вулиця Островського
Острозького вулиця                                                                            	вулиця Острозького
Острозької Біблії вулиця                                                                      	вулиця Острозької Біблії
Очеретянка вулиця                                                                             	вулиця Очеретянка
П. Сагайдачного вулиця                                                                        	вулиця П. Сагайдачного
П. Ходневича вулиця                                                                           	вулиця П. Ходневича
Павла Жолтовського вулиця                                                                     	вулиця Павла Жолтовського
Павла Пащевського вулиця                                                                      	вулиця Павла Пащевського
Павла Полуботка вулиця                                                                        	вулиця Павла Полуботка
Павла Скоропадського вулиця                                                                   	вулиця Павла Скоропадського
Павла Тичини вулиця                                                                           	вулиця Павла Тичини
Павлика Морозова вулиця                                                                       	вулиця Павлика Морозова
Павлова вулиця                                                                                	вулиця Павлова
Павлюченка вулиця                                                                             	вулиця Павлюченка
Пампощука вулиця                                                                              	вулиця Пампощука
Панаса Мирного вулиця                                                                         	вулиця Панаса Мирного
Панаса Саксаганського вулиця                                                                  	вулиця Панаса Саксаганського
Пантелеймона Куліша вулиця                                                                    	вулиця Пантелеймона Куліша
Панфіловців вулиця                                                                            	вулиця Панфіловців
Пархоменка вулиця                                                                             	вулиця Пархоменка
Пасіка вулиця                                                                                 	вулиця Пасіка
Паші Ангеліної вулиця                                                                         	вулиця Паші Ангеліної
Пекарського вулиця                                                                            	вулиця Пекарського
Перегонівка вулиця                                                                            	вулиця Перегонівка
Перемоги вулиця                                                                               	вулиця Перемоги
Перескок вулиця                                                                               	вулиця Перескок
Перший промінь вулиця                                                                         	вулиця Перший Промінь
Петлюри вулиця                                                                                	вулиця Петлюри
Петра Андрухова вулиця                                                                        	вулиця Петра Андрухова
Петра Дорошенка вулиця                                                                        	вулиця Петра Дорошенка
Петра Зінченка вулиця                                                                         	вулиця Петра Зінченка
Петра Могили вулиця                                                                           	вулиця Петра Могили
Петра Ніщинського вулиця                                                                      	вулиця Петра Ніщинського
Петра Полтави вулиця                                                                          	вулиця Петра Полтави
Петра Сагайдачного вулиця                                                                     	вулиця Петра Сагайдачного
Петра Стрільця вулиця                                                                         	вулиця Петра Стрільця
Петра Чайковського вулиця                                                                     	вулиця Петра Чайковського
Петра Яцика вулиця                                                                            	вулиця Петра Яцика
Петраківщина вулиця                                                                           	вулиця Петраківщина
Петрусенка вулиця                                                                             	вулиця Петрусенка
Петрусенко вулиця                                                                             	вулиця Петрусенко
Печера вулиця                                                                                 	вулиця Печера
Пилипа Орлика вулиця                                                                          	вулиця Пилипа Орлика
Підборці вулиця                                                                               	вулиця Підборці
Підгай вулиця                                                                                 	вулиця Підгай
Піддуб вулиця                                                                                 	вулиця Піддуб
Підлісок вулиця                                                                               	вулиця Підлісок
Підлісся вулиця                                                                               	вулиця Підлісся
Підстригача вулиця                                                                            	вулиця Підстригача
Підцурків вулиця                                                                              	вулиця Підцурків
Плевана вулиця                                                                                	вулиця Плевана
Плесо вулиця                                                                                  	вулиця Плесо
Плєсо вулиця                                                                                  	вулиця Плєсо
Площа Декабристів вулиця                                                                      	вулиця Площа Декабристів
Повстанців вулиця                                                                             	вулиця Повстанців
Подворанці вулиця                                                                             	вулиця Подворанці
Поліщука вулиця                                                                               	вулиця Поліщука
Полку Азов вулиця                                                                             	вулиця Полку «Азов»
Полуботка вулиця                                                                              	вулиця Полуботка
Попеля вулиця                                                                                 	вулиця Попеля
Попова вулиця                                                                                 	вулиця Попова
Поповицького вулиця                                                                           	вулиця Поповицького
Поповича вулиця                                                                               	вулиця Поповича
Похільченка вулиця                                                                            	вулиця Похільченка
Поштарка вулиця                                                                               	вулиця Поштарка
Праведників Світу вулиця                                                                      	вулиця Праведників Світу
Правика вулиця                                                                                	вулиця Правика
Пржевальського вулиця                                                                         	вулиця Пржевальського
Приходька вулиця                                                                              	вулиця Приходька
Приходька вулиця;Приходько улица                                                              	вулиця Приходька
Прокопчука вулиця                                                                             	вулиця Прокопчука
Просвіти вулиця                                                                               	вулиця Просвіти
Професора Ковальського вулиця                                                                 	вулиця Професора Ковальського
пушкіна вулиця                                                                                	вулиця Пушкіна
Пушкіна вулиця                                                                                	вулиця Пушкіна
Пчілки вулиця                                                                                 	вулиця Пчілки
П'ятигорця вулиця                                                                             	вулиця Пʼятигорця
П'ятихатки вулиця                                                                             	вулиця Пʼятихатки
Решетнікова вулиця                                                                            	вулиця Решетнікова
Рибальченка вулиця                                                                            	вулиця Рибальченка
Рилєєва вулиця                                                                                	вулиця Рилєєва
Ринок вулиця                                                                                  	вулиця Ринок
Родини Кульчинських вулиця                                                                    	вулиця Родини Кульчинських
Родини Мисечків вулиця                                                                        	вулиця Родини Мисечків
Родини Рощинських вулиця                                                                      	вулиця Родини Рощинських
Родини Шумовських вулиця                                                                      	вулиця Родини Шумовських
Рожок вулиця                                                                                  	вулиця Рожок
Романа Шухевича вулиця                                                                        	вулиця Романа Шухевича
Руданського вулиця                                                                            	вулиця Руданського
Руднева вулиця                                                                                	вулиця Руднева
Руднєва вулиця                                                                                	вулиця Руднєва
Ружицького вулиця                                                                             	вулиця Ружицького
Коваля С. вулиця                                                                              	вулиця С. Коваля
С. Савчука вулиця                                                                             	вулиця С. Савчука
С.Тулуба вулиця                                                                               	вулиця С. Тулуба
Сагайдачного вулиця                                                                           	вулиця Сагайдачного
Садовського вулиця                                                                            	вулиця Садовського
Саймота Сміта вулиця                                                                          	вулиця Саймота Сміта
Саксаганського вулиця                                                                         	вулиця Саксаганського
Самокиша вулиця                                                                               	вулиця Самокиша
Самокіша вулиця                                                                               	вулиця Самокіша
Самолюка вулиця                                                                               	вулиця Самолюка
Самуеля Едельса вулиця                                                                        	вулиця Самуеля Едельса
Самчука вулиця                                                                                	вулиця Самчука
Свєшнікова вулиця                                                                             	вулиця Свєшнікова
Свободи вулиця                                                                                	вулиця Свободи
Святослава Хороброго вулиця                                                                   	вулиця Святослава Хороброго
Северина Наливайка вулиця                                                                     	вулиця Северина Наливайка
Селиця вулиця                                                                                 	вулиця Селиця
Семена Скляренка вулиця                                                                       	вулиця Семена Скляренка
Семеновича вулиця                                                                             	вулиця Семеновича
Семихатка вулиця                                                                              	вулиця Семихатка
Сергія Бачинського вулиця                                                                     	вулиця Сергія Бачинського
Сергія Єфремова вулиця                                                                        	вулиця Сергія Єфремова
Сергія Рижука вулиця                                                                          	вулиця Сергія Рижука
Середній Гай вулиця                                                                           	вулиця Середній Гай
Сидорова вулиця                                                                               	вулиця Сидорова
Симиренка вулиця                                                                              	вулиця Симиренка
Симона Петлюри вулиця                                                                         	вулиця Симона Петлюри
Симоненка вулиця                                                                              	вулиця Симоненка
Січових стрільців вулиця                                                                      	вулиця Січових Стрільців
Січових Стрільців вулиця                                                                      	вулиця Січових Стрільців
Сковороди вулиця                                                                              	вулиця Сковороди
Скульптора Сосновського вулиця                                                                	вулиця Скульптора Сосновського
Слави вулиця                                                                                  	вулиця Слави
Словацького вулиця                                                                            	вулиця Словацького
Смолича вулиця                                                                                	вулиця Смолича
Смотрицького вулиця                                                                           	вулиця Смотрицького
Соколюка вулиця                                                                               	вулиця Соколюка
Соломії Крушельницької вулиця                                                                 	вулиця Соломії Крушельницької
Сосюри вулиця                                                                                 	вулиця Сосюри
Софії Ковалевської вулиця                                                                     	вулиця Софії Ковалевської
Софії Русової вулиця                                                                          	вулиця Софії Русової
Сошенка вулиця                                                                                	вулиця Сошенка
Спартака вулиця                                                                               	вулиця Спартака
Станіслава Кардашевича вулиця                                                                 	вулиця Станіслава Кардашевича
Станіславського вулиця                                                                        	вулиця Станіславського
Старики вулиця                                                                                	вулиця Старики
Старицького вулиця                                                                            	вулиця Старицького
Степана Бандери вулиця                                                                        	вулиця Степана Бандери
Степана Васильченка вулиця                                                                    	вулиця Степана Васильченка
Степана Дем’янчука вулиця                                                                     	вулиця Степана Демʼянчука
Степана Скрипника вулиця                                                                      	вулиця Степана Скрипника
Степанишина вулиця                                                                            	вулиця Степанишина
Степанова вулиця                                                                              	вулиця Степанова
Стефаника вулиця                                                                              	вулиця Стефаника
Стефановича вулиця                                                                            	вулиця Стефановича
Стеценка вулиця                                                                               	вулиця Стеценка
Стила вулиця                                                                                  	вулиця Стила
Стрижака вулиця                                                                               	вулиця Стрижака
Струтинської вулиця                                                                           	вулиця Струтинської
Ступницького вулиця                                                                           	вулиця Ступницького
Стуса вулиця                                                                                  	вулиця Стуса
Суворова вулиця                                                                               	вулиця Суворова
Сурмичі вулиця                                                                                	вулиця Сурмичі
Сутець вулиця                                                                                 	вулиця Сутець
Т. Шевченка вулиця                                                                            	вулиця Т. Шевченка
Тараса Боровця вулиця                                                                         	вулиця Тараса Боровця
Тараса Бульби вулиця                                                                          	вулиця Тараса Бульби
Тараса Грицюка вулиця                                                                         	вулиця Тараса Грицюка
Тараса Козлишина вулиця                                                                       	вулиця Тараса Козлишина
вулиця Тараса Шевченко                                                                        	вулиця Тараса Шевченка
Тараса Шевченка вулиця                                                                        	вулиця Тараса Шевченка
Тарасенка вулиця                                                                              	вулиця Тарасенка
Тарасюка вулиця                                                                               	вулиця Тарасюка
Татарське джерело вулиця                                                                      	вулиця Татарське Джерело
Теодозії Бриж вулиця                                                                          	вулиця Теодозії Бриж
Терешкової вулиця                                                                             	вулиця Терешкової
Тесленка вулиця                                                                               	вулиця Тесленка
Титова вулиця;Тітова вулиця                                                                   	вулиця Титова;вулиця Тітова
Тичини вулиця                                                                                 	вулиця Тичини
Тітова вулиця                                                                                 	вулиця Тітова
Ткача вулиця                                                                                  	вулиця Ткача
Толстого вулиця                                                                               	вулиця Толстого
Томаша вулиця                                                                                 	вулиця Томаша
Томашова вулиця                                                                               	вулиця Томашова
Тормашова вулиця                                                                              	вулиця Тормашова
Тувинських Добровольців вулиця                                                                	вулиця Тувинських Добровольців
Тургенєва вулиця                                                                              	вулиця Тургенєва
Тютюнника вулиця                                                                              	вулиця Тютюнника
Уласа Самчука вулиця                                                                          	вулиця Уласа Самчука
Уляни Соколовської вулиця                                                                     	вулиця Уляни Соколовської
Улянії та Анастасії Гольшанських вулиця                                                       	вулиця Улянії та Анастасії Гольшанських
Устима Кармелюка вулиця                                                                       	вулиця Устима Кармелюка
Ушакова вулиця                                                                                	вулиця Ушакова
Ушинського вулиця                                                                             	вулиця Ушинського
Федора Сумневича вулиця                                                                       	вулиця Федора Сумневича
Федора Тітова вулиця                                                                          	вулиця Федора Тітова
Федорова вулиця                                                                               	вулиця Федорова
Федьковича вулиця                                                                             	вулиця Федьковича
Федюри вулиця                                                                                 	вулиця Федюри
Фігура вулиця                                                                                 	вулиця Фігура
Філатова вулиця                                                                               	вулиця Філатова
Франка вулиця                                                                                 	вулиця Франка
Фридерика Шопена вулиця                                                                       	вулиця Фридерика Шопена
Фучика вулиця                                                                                 	вулиця Фучика
Хакімова вулиця                                                                               	вулиця Хакімова
Харківця вулиця                                                                               	вулиця Харківця
Харпака вулиця                                                                                	вулиця Харпака
Хлібороб вулиця                                                                               	вулиця Хлібороб
Хліборобів вулиця                                                                             	вулиця Хліборобів
Хмельницького вулиця                                                                          	вулиця Хмельницького
Хміль вулиця                                                                                  	вулиця Хміль
хутір Горгулі вулиця                                                                          	вулиця Хутір Горгулі
Хутір Муравців вулиця                                                                         	вулиця Хутір Муравців
Хутір Франівка вулиця                                                                         	вулиця Хутір Франівка
Центральна алея вулиця                                                                        	вулиця Центральна Алея
Центральної Ради вулиця                                                                       	вулиця Центральної Ради
Ціолковського вулиця                                                                          	вулиця Ціолковського
Чабана вулиця                                                                                 	вулиця Чабана
Чайковського вулиця                                                                           	вулиця Чайковського
Чапаєва вулиця                                                                                	вулиця Чапаєва
Чебишева вулиця                                                                               	вулиця Чебишева
Челюскінців вулиця                                                                            	вулиця Челюскінців
Чепчуріна вулиця                                                                              	вулиця Чепчуріна
Червона гора вулиця                                                                           	вулиця Червона Гора
Червона долина вулиця                                                                         	вулиця Червона Долина
Червонія вулиця                                                                               	вулиця Червонія
Червоного Хреста вулиця                                                                       	вулиця Червоного Хреста
Черепки вулиця                                                                                	вулиця Черепки
Чернишевського вулиця                                                                         	вулиця Чернишевського
Чернишова вулиця                                                                              	вулиця Чернишова
Черняка вулиця                                                                                	вулиця Черняка
Черняховського вулиця                                                                         	вулиця Черняховського
Четвертного вулиця                                                                            	вулиця Четвертного
Чехи вулиця                                                                                   	вулиця Чехи
Чехова вулиця                                                                                 	вулиця Чехова
Чирганка вулиця                                                                               	вулиця Чирганка
Чкалова вулиця                                                                                	вулиця Чкалова
Чорновола вулиця                                                                              	вулиця Чорновола
Чорторийських вулиця                                                                          	вулиця Чорторийських
Чубая вулиця                                                                                  	вулиця Чубая
Чубинського вулиця                                                                            	вулиця Чубинського
Шашкевича вулиця                                                                              	вулиця Шашкевича
Шварцмана вулиця                                                                              	вулиця Шварцмана
Шведа вулиця                                                                                  	вулиця Шведа
Швеця вулиця                                                                                  	вулиця Швеця
Шевченка вулиця                                                                               	вулиця Шевченка
Шевченко вулиця                                                                               	вулиця Шевченко
Шекспіра вулиця                                                                               	вулиця Шекспіра
Шитова вулиця                                                                                 	вулиця Шитова
Шолохова вулиця                                                                               	вулиця Шолохова
Шопена вулиця                                                                                 	вулиця Шопена
Шосова вулиця                                                                                 	вулиця Шосова
Шота Руставелі вулиця                                                                         	вулиця Шота Руставелі
Шпудейка вулиця                                                                               	вулиця Шпудейка
Штейнгеля вулиця                                                                              	вулиця Штейнгеля
Щепкіна вулиця                                                                                	вулиця Щепкіна
Щоголіва вулиця                                                                               	вулиця Щоголіва
Щорса вулиця                                                                                  	вулиця Щорса
Ю. Гагаріна вулиця                                                                            	вулиця Ю. Гагаріна
Ю. Жуковського вулиця                                                                         	вулиця Ю. Жуковського
Юзефа Крашевського вулиця                                                                     	вулиця Юзефа Крашевського
Юзикевичів вулиця                                                                             	вулиця Юзикевичів
Юліуша Словацького вулиця                                                                     	вулиця Юліуша Словацького
Юрія Велігурского вулиця                                                                      	вулиця Юрія Велігурского
Юрія Гагаріна вулиця                                                                          	вулиця Юрія Гагаріна
Юрія Горліса-Горського вулиця                                                                 	вулиця Юрія Горліса-Горського
Юрія Гречана вулиця                                                                           	вулиця Юрія Гречана
Юрія Колесника вулиця                                                                         	вулиця Юрія Колесника
Я. Каменського вулиця                                                                         	вулиця Я. Каменського
Яворницького вулиця                                                                           	вулиця Яворницького
Якова Бичківського вулиця                                                                     	вулиця Якова Бичківського
Якуба Гофмана вулиця                                                                          	вулиця Якуба Гофмана
Яна Гуса вулиця                                                                               	вулиця Яна Гуса
Яна Лятоша вулиця                                                                             	вулиця Яна Лятоша
Ярослава Галана вулиця                                                                        	вулиця Ярослава Галана
Ярослава Гашека вулиця                                                                        	вулиця Ярослава Гашека
Ярослава Мудрого вулиця                                                                       	вулиця Ярослава Мудрого
Ярослава Стецька вулиця                                                                       	вулиця Ярослава Стецька
Zhovtneva Street;Oktyabrskaya Street;Жовтнева вулиця;Октябрьская улица                        	Жовтнева вулиця
вулиця Заводська                                                                              	Заводська вулиця
вулиця Затишна                                                                                	Затишна вулиця
Кам'яна вулиця                                                                                	Камʼяна вулиця
Кам’янець-Подільська вулиця                                                                   	Камʼянець-Подільська вулиця
Кар'єрна вулиця                                                                               	Карʼєрна вулиця
Киъвська вулиця                                                                               	Київська вулиця
колгоспна вулиця                                                                              	Колгоспна вулиця
Колгоспна вулиця ;Колхозная улица                                                             	Колгоспна вулиця
Kolhospna Street;Kolkhoznaya Street;Колгоспна вулиця;Колхозная улица                          	Колгоспна вулиця
Костёльная улица                                                                              	Костельна вулиця
Лев’ятинська вулиця                                                                           	Левʼятинська вулиця
Масив Липовий                                                                                 	Липовий масив
Лип'янська вулиця                                                                             	Липʼянська вулиця
Ліскова вулиця;Лєскова вулиця                                                                 	Ліскова вулиця
Майдан Бергшлосс                                                                              	майдан Бергшлосс
Короленка майдан                                                                              	майдан Короленка
Магдебургського Права майдан                                                                  	майдан Магдебургського Права
Незалежності майдан                                                                           	майдан Незалежності
Просвіти майдан                                                                               	майдан Просвіти
Масив Криниченька                                                                             	масив Криниченька
Будівельників мікрорайон                                                                      	мікрорайон Будівельників
Вараш мікрорайон                                                                              	мікрорайон Вараш
Перемоги мікрорайон                                                                           	мікрорайон Перемоги
М’ятинська вулиця                                                                             	Мʼятинська вулиця
М’ятинський провулок                                                                          	Мʼятинський провулок
вулиця Набережна                                                                              	Набережна вулиця
Об’їздна вулиця                                                                               	Обʼїздна вулиця
Обїздна вулиця                                                                                	Обʼїздна вулиця
Партизанська вулиця;Партизанская улица;Partyzanska Street;Partizanskaya Street                	Партизанська вулиця
Петро-Павлівська вулиця                                                                       	Петропавлівська вулиця
Міст пішохідний                                                                               	Пішохідний міст
Почаївськеа вулиця                                                                            	Почаївська вулиця
Присадибра вулиця                                                                             	Присадибна вулиця
Академіка Сахарова провулок                                                                   	провулок Академіка Сахарова
Андрія Ременюка провулок                                                                      	провулок Андрія Ременюка
Берегового провулок                                                                           	провулок Берегового
Богдана Хмельницького провулок                                                                	провулок Богдана Хмельницького
Богуна провулок                                                                               	провулок Богуна
Боярка провулок                                                                               	провулок Боярка
Будівельників провулок                                                                        	провулок Будівельників
Буховича провулок                                                                             	провулок Буховича
Васильченка провулок                                                                          	провулок Васильченка
Василя Стуса провулок                                                                         	провулок Василя Стуса
Василя Сухомлинського провулок                                                                	провулок Василя Сухомлинського
В'ячеслава Мірошника провулок                                                                 	провулок Вʼячеслава Мірошника
Гагаріна провулок                                                                             	провулок Гагаріна
Гоголя провулок                                                                               	провулок Гоголя
Горького провулок                                                                             	провулок Горького
Григорія Сковороди провулок                                                                   	провулок Григорія Сковороди
Грушевського провулок                                                                         	провулок Грушевського
Данила Галицького провулок                                                                    	провулок Данила Галицького
Дмитра Свідерського провулок                                                                  	провулок Дмитра Свідерського
Добролюбова провулок                                                                          	провулок Добролюбова
Дорошенка провулок                                                                            	провулок Дорошенка
Дружби провулок                                                                               	провулок Дружби
Євгена Рєпіна провулок                                                                        	провулок Євгена Рєпіна
Єсеніна провулок                                                                              	провулок Єсеніна
Єфремова провулок                                                                             	провулок Єфремова
Жуковського провулок                                                                          	провулок Жуковського
Забрама провулок                                                                              	провулок Забрама
Захисників України провулок                                                                   	провулок Захисників України
Зерова провулок                                                                               	провулок Зерова
Івана Мазепи провулок                                                                         	провулок Івана Мазепи
Івана Трифонова провулок                                                                      	провулок Івана Трифонова
