1 Ірпіньський провулок                                          	1-й Ірпінський провулок
Кар'єрна вулиця                                                 	Карʼєрна вулиця
Карамзіна провулок                                              	провулок Карамзіна
Карбишева вулиця                                                	вулиця Карбишева
Карбулицького вулиця                                            	вулиця Карбулицького
Карла Еміля Францоза вулиця                                     	вулиця Карла Еміля Францоза
Карла Еміля Францоза провулок                                   	провулок Карла Еміля Францоза
Карла Лібкнехта вулиця                                          	вулиця Карла Лібкнехта
Кармелюка вулиця                                                	вулиця Кармелюка
Кармелюка провулок                                              	провулок Кармелюка
Кароля Мікулі вулиця                                            	вулиця Кароля Мікулі
Карпенка-Карого вулиця                                          	вулиця Карпенка-Карого
Квітки-Основ’яненка вулиця                                      	вулиця Квітки-Основʼяненка
Кирила Стеценка вулиця                                          	вулиця Кирила Стеценка
Кірова вулиця                                                   	вулиця Кірова
Клавдіїї Бобикевич вулиця                                       	вулиця Клавдіїї Бобикевич
Клевчука вулиця                                                 	вулиця Клевчука
Кновальця вулиця                                                	вулиця Кновальця
Княгині Ольги вулиця                                            	вулиця Княгині Ольги
Княгині Ольги провулок                                          	провулок Княгині Ольги
Коберідзе вулиця                                                	вулиця Коберідзе
Кобилиці вулиця                                                 	вулиця Кобилиці
Кобилянської вулиця                                             	вулиця Кобилянської
Кобринської Наталії провулок                                    	провулок Наталії Кобринської
Ковалевської вулиця                                             	вулиця Ковалевської
Ковалюка вулиця                                                 	вулиця Ковалюка
Ковганова провулок                                              	провулок Ковганова
Ковпака вулиця                                                  	вулиця Ковпака
Козацької Cлави вулиця                                          	вулиця Козацької Слави
Колодія вулиця                                                  	вулиця Колодія
Комарова вулиця                                                 	вулиця Комарова
Комарова провулок                                               	провулок Комарова
Комінтерну провулок                                             	провулок Комінтерну
Комунальників вулиця                                            	вулиця Комунальників
Коновальця вулиця                                               	вулиця Коновальця
Коновальця провулок                                             	провулок Коновальця
Конституції вулиця                                              	вулиця Конституції
Корнелія Дзержика вулиця                                        	вулиця Корнелія Дзержика
Корнелія Дзержика провулок                                      	провулок Корнелія Дзержика
Короленка вулиця                                                	вулиця Короленка
Короленко вулиця                                                	вулиця Короленко
Королькова вулиця                                               	вулиця Королькова
Корольова вулиця                                                	вулиця Корольова
Косіора вулиця                                                  	вулиця Косіора
Космодем'янської вулиця                                         	вулиця Космодемʼянської
Космонавтів вулиця                                              	вулиця Космонавтів
Космонавтів провулок                                            	провулок Космонавтів
Костенюка вулиця                                                	вулиця Костенюка
Костенюка провулок                                              	провулок Костенюка
Костецького вулиця                                              	вулиця Костецького
Костишина вулиця                                                	вулиця Костишина
Костянтина Томащука вулиця                                      	вулиця Костянтина Томащука
Костянтина Червінського вулиця                                  	вулиця Костянтина Червінського
Котляревського вулиця                                           	вулиця Котляревського
Котовського вулиця                                              	вулиця Котовського
Котовського провулок                                            	провулок Котовського
Коцюбинського вулиця                                            	вулиця Коцюбинського
Коцюбинського провулок                                          	провулок Коцюбинського
Кочубея вулиця                                                  	вулиця Кочубея
Кочубея провулок                                                	провулок Кочубея
Кошового вулиця                                                 	вулиця Кошового
Крейтера вулиця                                                 	вулиця Крейтера
Кривоноса вулиця                                                	вулиця Кривоноса
Крилова вулиця                                                  	вулиця Крилова
Крилова провулок                                                	провулок Крилова
Круглова вулиця                                                 	вулиця Круглова
Крупенського вулиця                                             	вулиця Крупенського
Крупінського провулок                                           	провулок Крупінського
Крупської вулиця                                                	вулиця Крупської
Кузьми Галкіна вулиця                                           	вулиця Кузьми Галкіна
Кузьми Мініна вулиця                                            	вулиця Кузьми Мініна
Куп’янська вулиця                                               	Купʼянська вулиця
Курчатова вулиця                                                	вулиця Курчатова
Кутузова вулиця                                                 	вулиця Кутузова
Кутузова провулок                                               	провулок Кутузова
Кучеренка вулиця                                                	вулиця Кучеренка
Л. Каденюка вулиця                                              	вулиця Л. Каденюка
Л. Каденюка провулок                                            	провулок Л. Каденюка
Л. Кадинюка вулиця                                              	вулиця Л. Кадинюка
Л. Кобилиці вулиця                                              	вулиця Л. Кобилиці
Л. Українки вулиця                                              	вулиця Л. Українки
Ладо Кецховелі вулиця                                           	вулиця Ладо Кецховелі
Лева Толстого вулиця                                            	вулиця Лева Толстого
Леніна вулиця                                                   	вулиця Леніна
Леоніда Дергача вулиця                                          	вулиця Леоніда Дергача
Леоніда Каденюка вулиця                                         	вулиця Леоніда Каденюка
Леоніда Красіна вулиця                                          	вулиця Леоніда Красіна
Леонтовича вулиця                                               	вулиця Леонтовича
Леонтовича провулок                                             	провулок Леонтовича
Лермонтова вулиця                                               	вулиця Лермонтова
Лесі Українки вулиця                                            	вулиця Лесі Українки
Лесі Українки провулок                                          	провулок Лесі Українки
Леся Мартовича вулиця                                           	вулиця Леся Мартовича
Лисенка вулиця                                                  	вулиця Лисенка
Литвинчука вулиця                                               	вулиця Литвинчука
Лідії Липковської вулиця                                        	вулиця Лідії Липковської
Лідії Любинецької вулиця                                        	вулиця Лідії Любинецької
Лізи Чайкіної вулиця                                            	вулиця Лізи Чайкіної
Лізи Чайкіної провулок                                          	провулок Лізи Чайкіної
Лікаря Прокоповича вулиця                                       	вулиця Лікаря Прокоповича
Ліліяка вулиця                                                  	вулиця Ліліяка
Логозаря вулиця                                                 	вулиця Логозаря
Ломоносова вулиця                                               	вулиця Ломоносова
Лук'яна Кобилиці вулиця                                         	вулиця Лукʼяна Кобилиці
Лук'яна Кобилиці провулок                                       	провулок Лукʼяна Кобилиці
Лук’яна Кобилиці вулиця                                         	вулиця Лукʼяна Кобилиці
Лук’яна Кобилиці провулок                                       	провулок Лукʼяна Кобилиці
Луцького вулиця                                                 	вулиця Луцького
Льва Толстого вулиця                                            	вулиця Льва Толстого
Льва Толстого провулок                                          	провулок Льва Толстого
Людвіга ван Бетховена вулиця                                    	вулиця Людвіга ван Бетховена
Лютика вулиця                                                   	вулиця Лютика
М. Галичанського вулиця                                         	вулиця М. Галичанського
М. Гастелло вулиця                                              	вулиця М. Гастелло
М. Гоголя вулиця                                                	вулиця М. Гоголя
М. Гоголя провулок                                              	провулок М. Гоголя
М. Горького вулиця                                              	вулиця М. Горького
М. Горького провулок                                            	провулок М. Горького
М. Грушевського вулиця                                          	вулиця М. Грушевського
М. Драгоманова вулиця                                           	вулиця М. Драгоманова
М. Емінеску вулиця                                              	вулиця М. Емінеску
М. Заньковецької вулиця                                         	вулиця М. Заньковецької
М. Козака вулиця                                                	вулиця М. Козака
М. Лєрмонтова вулиця                                            	вулиця М. Лєрмонтова
М. Ломоносова вулиця                                            	вулиця М. Ломоносова
М. Островського вулиця                                          	вулиця М. Островського
М. Пирогова вулиця                                              	вулиця М. Пирогова
М. Черемшини вулиця                                             	вулиця М. Черемшини
Мазепи вулиця                                                   	вулиця Мазепи
Майданського вулиця                                             	вулиця Майданського
Майданського провулок                                           	провулок Майданського
Макаренка вулиця                                                	вулиця Макаренка
Макаренка провулок                                              	провулок Макаренка
Маковейчука вулиця                                              	вулиця Маковейчука
Маковея вулиця                                                  	вулиця Маковея
Макогона вулиця                                                 	вулиця Макогона
Максима Горького вулиця                                         	вулиця Максима Горького
Максима Залізняка вулиця                                        	вулиця Максима Залізняка
Максима Кривоноса вулиця                                        	вулиця Максима Кривоноса
Максима Рильського вулиця                                       	вулиця Максима Рильського
Мала Виженка вулиця                                             	вулиця Мала Виженка
Малицької вулиця                                                	вулиця Малицької
Маміна-Сибіряка вулиця                                          	вулиця Маміна-Сибіряка
Манфреда Штерна вулиця                                          	вулиця Манфреда Штерна
Марини Раскової вулиця                                          	вулиця Марини Раскової
Марії Заньковецької вулиця                                      	вулиця Марії Заньковецької
Марка Вовчка вулиця                                             	вулиця Марка Вовчка
Марка Черемшини вулиця                                          	вулиця Марка Черемшини
Маркаренко вулиця                                               	вулиця Маркаренко
Маркіяна Шашкевича вулиця                                       	вулиця Маркіяна Шашкевича
Марковського вулиця                                             	вулиця Марковського
Марусі Чурай вулиця                                             	вулиця Марусі Чурай
Марченка вулиця                                                 	вулиця Марченка
Маршала Жукова вулиця                                           	вулиця Маршала Жукова
Маршала Рибалка вулиця                                          	вулиця Маршала Рибалка
Маршала Рибалка провулок                                        	провулок Маршала Рибалка
маршала Толбухіна вулиця                                        	вулиця Маршала Толбухіна
Маршала Толбухіна вулиця                                        	вулиця Маршала Толбухіна
Матросова вулиця                                                	вулиця Матросова
Машинобудівників вулиця                                         	вулиця Машинобудівників
Маяковського вулиця                                             	вулиця Маяковського
Медиків вулиця                                                  	вулиця Медиків
Мельника вулиця                                                 	вулиця Мельника
Мельникова вулиця                                               	вулиця Мельникова
Менделєєва вулиця                                               	вулиця Менделєєва
Механізаторів вулиця                                            	вулиця Механізаторів
Мєшкова вулиця                                                  	вулиця Мєшкова
Миколайчука вулиця                                              	вулиця Миколайчука
Миколая Коперника вулиця                                        	вулиця Миколая Коперника
Миколи Василька вулиця                                          	вулиця Миколи Василька
Миколи Ватутіна вулиця                                          	вулиця Миколи Ватутіна
Миколи Гастелло вулиця                                          	вулиця Миколи Гастелло
Миколи Гастелло провулок                                        	провулок Миколи Гастелло
Миколи Гиренка вулиця                                           	вулиця Миколи Гиренка
Миколи Гоголя вулиця                                            	вулиця Миколи Гоголя
Миколи Карамзіна вулиця                                         	вулиця Миколи Карамзіна
Миколи Ковальчука вулиця                                        	вулиця Миколи Ковальчука
Миколи Кузнєцова вулиця                                         	вулиця Миколи Кузнєцова
Миколи Лисенка вулиця                                           	вулиця Миколи Лисенка
Миколи Лисенка провулок                                         	провулок Миколи Лисенка
Миколи Лобачевського провулок                                   	провулок Миколи Лобачевського
Миколи Макаренка вулиця                                         	вулиця Миколи Макаренка
Миколи Марфієвича вулиця                                        	вулиця Миколи Марфієвича
Миколи Міхновського вулиця                                      	вулиця Миколи Міхновського
Миколи Мозгового вулиця                                         	вулиця Миколи Мозгового
Миколи Пирогова вулиця                                          	вулиця Миколи Пирогова
Миколи Стасюка вулиця                                           	вулиця Миколи Стасюка
Миколи Хвильового вулиця                                        	вулиця Миколи Хвильового
Мирона Кордуби вулиця                                           	вулиця Мирона Кордуби
Мирона Штолюка вулиця                                           	вулиця Мирона Штолюка
Миру вулиця                                                     	вулиця Миру
Миру провулок                                                   	провулок Миру
Митрополита Володимира вулиця                                   	вулиця Митрополита Володимира
Митрополита Гакмана вулиця                                      	вулиця Митрополита Гакмана
Михайла Вербицького вулиця                                      	вулиця Михайла Вербицького
Михайла Глінки вулиця                                           	вулиця Михайла Глінки
Михайла Грушевського вулиця                                     	вулиця Михайла Грушевського
Михайла Гуцуляка вулиця                                         	вулиця Михайла Гуцуляка
Михайла Драгоманова вулиця                                      	вулиця Михайла Драгоманова
Михайла Катукова вулиця                                         	вулиця Михайла Катукова
Михайла Коруляка вулиця                                         	вулиця Михайла Коруляка
Михайла Коцюбинського вулиця                                    	вулиця Михайла Коцюбинського
Михайла Кутузова вулиця                                         	вулиця Михайла Кутузова
Михайла Лермонтова вулиця                                       	вулиця Михайла Лермонтова
Михайла Ломоносова вулиця                                       	вулиця Михайла Ломоносова
Михайла Мафтуляка вулиця                                        	вулиця Михайла Мафтуляка
Михайла Огінського вулиця                                       	вулиця Михайла Огінського
Михайла Петрашевського вулиця                                   	вулиця Михайла Петрашевського
Михайла Салтикова-Щедріна вулиця                                	вулиця Михайла Салтикова-Щедріна
Михайла Ткача вулиця                                            	вулиця Михайла Ткача
Михайла Фрунзе вулиця                                           	вулиця Михайла Фрунзе
Михайлова вулиця                                                	вулиця Михайлова
Михайлюка вулиця                                                	вулиця Михайлюка
Михая Емінеску вулиця                                           	вулиця Михая Емінеску
Мізюна вулиця                                                   	вулиця Мізюна
Міцкевича вулиця                                                	вулиця Міцкевича
Мічуріна вулиця                                                 	вулиця Мічуріна
Мічуріна провулок                                               	провулок Мічуріна
Модеста Мусоргського вулиця                                     	вулиця Модеста Мусоргського
Мозгового вулиця                                                	вулиця Мозгового
Молодіжна  вулиця                                               	Молодіжна вулиця
Мордар'єва вулиця                                               	вулиця Мордарʼєва
Моріса Тореза вулиця                                            	вулиця Моріса Тореза
Московської Олімпіади вулиця                                    	вулиця Московської Олімпіади
Н. Левицького вулиця                                            	вулиця Н. Левицького
Н. Яремчука вулиця                                              	вулиця Н. Яремчука
Н.Яремчука вулиця                                               	вулиця Н. Яремчука
Назарія Яремчука вулиця                                         	вулиця Назарія Яремчука
Назарія Яремчука провулок                                       	провулок Назарія Яремчука
Наталії Кобринської вулиця                                      	вулиця Наталії Кобринської
Науки вулиця                                                    	вулиця Науки
Небесної Сотні вулиця                                           	вулиця Небесної Сотні
Недужка вулиця                                                  	вулиця Недужка
Незалежності вулиця                                             	вулиця Незалежності
Незалежності провулок                                           	провулок Незалежності
Незалежності проспект                                           	проспект Незалежності
Некрасова вулиця                                                	вулиця Некрасова
Непомнящого вулиця                                              	вулиця Непомнящого
Нескорених вулиця                                               	вулиця Нескорених
Нечая вулиця                                                    	вулиця Нечая
Нечуя-Левицького вулиця                                         	вулиця Нечуя-Левицького
Нижня козаківська вулиця                                        	Нижня Козаківська вулиця
Нікітіна вулиця                                                 	вулиця Нікітіна
Нікіфора вулиця                                                 	вулиця Нікіфора
Нікули вулиця                                                   	вулиця Нікули
Новий План вулиця                                               	вулиця Новий План
Новоселів вулиця                                                	вулиця Новоселів
О. Вишні вулиця                                                 	вулиця О. Вишні
О. Герцена вулиця                                               	вулиця О. Герцена
О. Грибоєдова вулиця                                            	вулиця О. Грибоєдова
О. Довбуша вулиця                                               	вулиця О. Довбуша
О. Кобилянської вулиця                                          	вулиця О. Кобилянської
О. Кошового вулиця                                              	вулиця О. Кошового
О. Кутузова вулиця                                              	вулиця О. Кутузова
О. Пушкина вулиця                                               	вулиця О. Пушкина
О. Пушкіна вулиця                                               	вулиця О. Пушкіна
О. Степанової вулиця                                            	вулиця О. Степанової
О.Кобилянської вулиця                                           	вулиця О. Кобилянської
Об'їзна вулиця                                                  	Обʼїзна вулиця
Об'їзна дорога                                                  	Обʼїзна дорога
Об’їздна вулиця                                                 	Обʼїздна вулиця
Об’їзна вулиця                                                  	Обʼїзна вулиця
Обнорського вулиця                                              	вулиця Обнорського
Огієнка вулиця                                                  	вулиця Огієнка
Олега Кошового вулиця                                           	вулиця Олега Кошового
Олега Ольжича вулиця                                            	вулиця Олега Ольжича
Олеко Дундича вулиця                                            	вулиця Олеко Дундича
Олександра Богомольця вулиця                                    	вулиця Олександра Богомольця
Олександра Винничка вулиця                                      	вулиця Олександра Винничка
Олександра Герцена вулиця                                       	вулиця Олександра Герцена
Олександра Доброго вулиця                                       	вулиця Олександра Доброго
Олександра Довженка вулиця                                      	вулиця Олександра Довженка
Олександра Коваля вулиця                                        	вулиця Олександра Коваля
Олександра Матросова вулиця                                     	вулиця Олександра Матросова
Олександра Матросова провулок                                   	провулок Олександра Матросова
Олександра Можайського вулиця                                   	вулиця Олександра Можайського
Олександра Невського вулиця                                     	вулиця Олександра Невського
Олександра Паламаря вулиця                                      	вулиця Олександра Паламаря
Олександра Попова вулиця                                        	вулиця Олександра Попова
Олександра Попова провулок                                      	провулок Олександра Попова
Олександра Пушкіна вулиця                                       	вулиця Олександра Пушкіна
Олександра Пушкіна провулок                                     	провулок Олександра Пушкіна
Олександра Суворова вулиця                                      	вулиця Олександра Суворова
Олександра Худякова вулиця                                      	вулиця Олександра Худякова
Олександра Цулукідзе вулиця                                     	вулиця Олександра Цулукідзе
Олександра Щербанюка провулок                                   	провулок Олександра Щербанюка
Олекси Довбуша вулиця                                           	вулиця Олекси Довбуша
Олекси Довбуша провулок                                         	провулок Олекси Довбуша
Олекси Романця вулиця                                           	вулиця Олекси Романця
Олексія Боярка вулиця                                           	вулиця Олексія Боярка
Олексія Новикова-Прибоя вулиця                                  	вулиця Олексія Новикова-Прибоя
Олени Пчілки вулиця                                             	вулиця Олени Пчілки
Олени Теліги вулиця                                             	вулиця Олени Теліги
Олеся Гончара вулиця                                            	вулиця Олеся Гончара
Ольги Гузар вулиця                                              	вулиця Ольги Гузар
Ольги Кобилянської вулиця                                       	вулиця Ольги Кобилянської
Ольги Кобилянської провулок                                     	провулок Ольги Кобилянської
Ольжича вулиця                                                  	вулиця Ольжича
Омеляна Поповича вулиця                                         	вулиця Омеляна Поповича
Орджонікідзе вулиця                                             	вулиця Орджонікідзе
Ореста Білака вулиця                                            	вулиця Ореста Білака
Орлика вулиця                                                   	вулиця Орлика
Осипа Маковея вулиця                                            	вулиця Осипа Маковея
Осмомисла вулиця                                                	вулиця Осмомисла
Остапа Вишні вулиця                                             	вулиця Остапа Вишні
Остапа Вишні провулок                                           	провулок Остапа Вишні
Остапа Вільшини вулиця                                          	вулиця Остапа Вільшини
Островського вулиця                                             	вулиця Островського
П. Ангеліної вулиця                                             	вулиця П. Ангеліної
П. Мирного вулиця                                               	вулиця П. Мирного
П. Могили вулиця                                                	вулиця П. Могили
П. Нахімова вулиця                                              	вулиця П. Нахімова
П. Сагайдачного вулиця                                          	вулиця П. Сагайдачного
Павла Каспрука вулиця                                           	вулиця Павла Каспрука
Павла Ніщинського вулиця                                        	вулиця Павла Ніщинського
Павла Сагайдачного вулиця                                       	вулиця Павла Сагайдачного
Павла Тичини вулиця                                             	вулиця Павла Тичини
Павла Тичини провулок                                           	провулок Павла Тичини
Павла Чубинського вулиця                                        	вулиця Павла Чубинського
Павлюка вулиця                                                  	вулиця Павлюка
Паламарюка вулиця                                               	вулиця Паламарюка
Палія вулиця                                                    	вулиця Палія
Панаса Мирного вулиця                                           	вулиця Панаса Мирного
Панаса Саксаганського вулиця                                    	вулиця Панаса Саксаганського
Панчука вулиця                                                  	вулиця Панчука
Панчука провулок                                                	провулок Панчука
Патріотів України вулиця                                        	вулиця Патріотів України
Пауля Целана вулиця                                             	вулиця Пауля Целана
Перемоги вулиця                                                 	вулиця Перемоги
Першого Травня вулиця                                           	вулиця 1 Травня
Петра Багратіона вулиця                                         	вулиця Петра Багратіона
Петра Дорошенка вулиця                                          	вулиця Петра Дорошенка
Петра Калнишевського вулиця                                     	вулиця Петра Калнишевського
Петра Сагайдачного вулиця                                       	вулиця Петра Сагайдачного
Петра Сагайдачного провулок                                     	провулок Петра Сагайдачного
Петрищука вулиця                                                	вулиця Петрищука
Пилипа Орлика вулиця                                            	вулиця Пилипа Орлика
Пирогова вулиця                                                 	вулиця Пирогова
Писарєва вулиця                                                 	вулиця Писарєва
Підгіна вулиця                                                  	вулиця Підгіна
Підлубного вулиця                                               	вулиця Підлубного
Пірогова вулиця                                                 	вулиця Пірогова
Полуботка вулиця                                                	вулиця Полуботка
Попова вулиця                                                   	вулиця Попова
Поповича вулиця                                                 	вулиця Поповича
Порумбеску вулиця                                               	вулиця Порумбеску
Постишева вулиця                                                	вулиця Постишева
Примака вулиця                                                  	вулиця Примака
Прип’ятська вулиця                                              	Припʼятська вулиця
пров. О.Кобилянської                                            	провулок О. Кобилянської
провулок Боцька І                                               	1-й провулок Боцька
провулок Боцька ІІ                                              	2-й провулок Боцька
провулок Головний                                               	Головний провулок
провулок Грушевського І                                         	1-й провулок Грушевського
провулок Грушевського ІІ                                        	2-й провулок Грушевського
провулок Дружби народів                                         	провулок Дружби Народів
провулок Зелений                                                	Зелений провулок
провулок І. Миколайчука                                         	провулок І. Миколайчука
провулок Комсомольский                                          	Комсомольский провулок
провулок Лісний                                                 	Лісний провулок
провулок Лісовий                                                	Лісовий провулок
провулок Лісовий І                                              	1-й Лісовий провулок
провулок Лісовий ІІ                                             	2-й Лісовий провулок
провулок Лісовий ІІІ                                            	3-й Лісовий провулок
провулок Першотравневий                                         	Першотравневий провулок
провулок Садовий                                                	Садовий провулок
провулок Солонецький                                            	Солонецький провулок
провулок Центральний                                            	Центральний провулок
провулок Шкільний                                               	Шкільний провулок
Протятого Каміння вулиця                                        	вулиця Протятого Каміння
проулок 40-річчя Перемоги                                       	провулок 40-річчя Перемоги
Птухіна вулиця                                                  	вулиця Птухіна
Пушкіна вулиця                                                  	вулиця Пушкіна
Радищева вулиця                                                 	вулиця Радищева
Радянської Буковини вулиця                                      	вулиця Радянської Буковини
Разіна Степана вулиця                                           	вулиця Степана Разіна
Рєпіна вулиця                                                   	вулиця Рєпіна
Рєпіна провулок                                                 	провулок Рєпіна
Рильського вулиця                                               	вулиця Рильського
Рілеєва вулиця                                                  	вулиця Рілеєва
Рози Люксембург вулиця                                          	вулиця Рози Люксембург
Розкової вулиця                                                 	вулиця Розкової
Романа Шухевича вулиця                                          	вулиця Романа Шухевича
Романенка вулиця                                                	вулиця Романенка
Руданського вулиця                                              	вулиця Руданського
Руднева вулиця                                                  	вулиця Руднева
Руснака вулиця                                                  	вулиця Руснака
С. Аксакова вулиця                                              	вулиця С. Аксакова
С. Наливайка вулиця                                             	вулиця С. Наливайка
Сагайдачного вулиця                                             	вулиця Сагайдачного
Сагайдачного провулок                                           	провулок Сагайдачного
Садова 1 провулок                                               	1-й Садовий провулок
Садовського вулиця                                              	вулиця Садовського
Самсона Бабія вулиця                                            	вулиця Самсона Бабія
Сарани вулиця                                                   	вулиця Сарани
Сарани провулок                                                 	провулок Сарани
Сафрюка вулиця                                                  	вулиця Сафрюка
Свердлова вулиця                                                	вулиця Свердлова
Свободи вулиця                                                  	вулиця Свободи
Святого Володимира вулиця                                       	вулиця Святого Володимира
Северина Наливайка вулиця                                       	вулиця Северина Наливайка
Семена Височана вулиця                                          	вулиця Семена Височана
Семена Галицького вулиця                                        	вулиця Семена Галицького
Семена Гулака-Артемовського вулиця                              	вулиця Семена Гулака-Артемовського
Семена Руднєва вулиця                                           	вулиця Семена Руднєва
Семена Челюскіна вулиця                                         	вулиця Семена Челюскіна
Семиренко вулиця                                                	вулиця Семиренко
Сергія Єсеніна вулиця                                           	вулиця Сергія Єсеніна
Сергія Канюка вулиця                                            	вулиця Сергія Канюка
Сергія Корольова вулиця                                         	вулиця Сергія Корольова
Сергія Лазо вулиця                                              	вулиця Сергія Лазо
Сергія Махліновського вулиця                                    	вулиця Сергія Махліновського
Сергія Нігояна вулиця                                           	вулиця Сергія Нігояна
Серікова вулиця                                                 	вулиця Серікова
Сєрова вулиця                                                   	вулиця Сєрова
Сидіра Воробкевича вулиця                                       	вулиця Сидіра Воробкевича
Сидора Воробкевича вулиця                                       	вулиця Сидора Воробкевича
Симона Петлюри вулиця                                           	вулиця Симона Петлюри
Синагоги вулиця                                                 	вулиця Синагоги
Синельникова вулиця                                             	вулиця Синельникова
Синявського вулиця                                              	вулиця Синявського
Сіді Таль вулиця                                                	вулиця Сіді Таль
Сірка вулиця                                                    	вулиця Сірка
Січових стрільців вулиця                                        	вулиця Січових Стрільців
Січових Стрільців вулиця                                        	вулиця Січових Стрільців
Скорботи площа                                                  	площа Скорботи
Скрябіна вулиця                                                 	вулиця Скрябіна
Слов'янська вулиця                                              	Словʼянська вулиця
Слов’янська вулиця                                              	Словʼянська вулиця
Соборності України вулиця                                       	вулиця Соборності України
Соколового Каміння вулиця                                       	вулиця Соколового Каміння
Солов'їна вулиця                                                	Соловʼїна вулиця
Соломії Крушельницької вулиця                                   	вулиця Соломії Крушельницької
Софії Ковалевської вулиця                                       	вулиця Софії Ковалевської
Софії Окуневської вулиця                                        	вулиця Софії Окуневської
Станіславського вулиця                                          	вулиця Станіславського
Старицького вулиця                                              	вулиця Старицького
Старожучківський Шлях вулиця                                    	вулиця Старожучківський Шлях
Стасюка вулиця                                                  	вулиця Стасюка
Степана Бандери вулиця                                          	вулиця Степана Бандери
Степана Бандери провулок                                        	провулок Степана Бандери
Степана Мороза вулиця                                           	вулиця Степана Мороза
Степана Сабадаша вулиця                                         	вулиця Степана Сабадаша
Степана Смаль-Стоцького вулиця                                  	вулиця Степана Смаль-Стоцького
Степана Халтуріна вулиця                                        	вулиця Степана Халтуріна
Стефана Флореску вулиця                                         	вулиця Стефана Флореску
Стефана чел Маре вулиця                                         	вулиця Стефана чел Маре
Стефаника вулиця                                                	вулиця Стефаника
Стецька вулиця                                                  	вулиця Стецька
Сторонецький потік вулиця                                       	вулиця Сторонецький Потік
Стуса вулиця                                                    	вулиця Стуса
Суворова вулиця                                                 	вулиця Суворова
Суворова провулок                                               	провулок Суворова
Сулеймана Стальського вулиця                                    	вулиця Сулеймана Стальського
Сухомлинського вулиця                                           	вулиця Сухомлинського
Т. Шевченка вулиця                                              	вулиця Т. Шевченка
Тараса Мельничука провулок                                      	провулок Тараса Мельничука
Тараса Шевченка вулиця                                          	вулиця Тараса Шевченка
Тараса Шевченка провулок                                        	провулок Тараса Шевченка
Текстильників вулиця                                            	вулиця Текстильників
Текстильників провулок                                          	провулок Текстильників
Тельмана вулиця                                                 	вулиця Тельмана
Терешкової вулиця                                               	вулиця Терешкової
Терешкової провулок                                             	провулок Терешкової
Терєшкової вулиця                                               	вулиця Терешкової
Тимірязєва провулок                                             	провулок Тимірязєва
Титова вулиця                                                   	вулиця Титова
Титова провулок                                                 	провулок Титова
Тихого вулиця                                                   	вулиця Тихого
Тімірязєва вулиця                                               	вулиця Тімірязєва
Тітова вулиця                                                   	вулиця Тітова
Ткачука вулиця                                                  	вулиця Ткачука
Ткачука провулок                                                	провулок Ткачука
Тобілевича вулиця                                               	вулиця Тобілевича
Товстюка вулиця                                                 	вулиця Товстюка
Толбухіна вулиця                                                	вулиця Толбухіна
Толстого вулиця                                                 	вулиця Толстого
Троянд вулиця                                                   	вулиця Троянд
Тургенєва вулиця                                                	вулиця Тургенєва
Тургєнєва вулиця                                                	вулиця Тургєнєва
Удонова вулиця                                                  	вулиця Удонова
Устима Кармалюка вулиця                                         	вулиця Устима Кармалюка
Устима Кармелюка вулиця                                         	вулиця Устима Кармелюка
Фалібоги вулиця                                                 	вулиця Фалібоги
Федковича вулиця                                                	вулиця Федковича
Федора Достоєвського вулиця                                     	вулиця Федора Достоєвського
Федора Полєтаєва вулиця                                         	вулиця Федора Полєтаєва
Федьковича вулиця                                               	вулиця Федьковича
Філармонії площа                                                	площа Філармонії
Філатова вулиця                                                 	вулиця Філатова
Франка вулиця                                                   	вулиця Франка
Фрідріха Шіллера вулиця                                         	вулиця Фрідріха Шіллера
Фрунзе вулиця                                                   	вулиця Фрунзе
Фурманова вулиця                                                	вулиця Фурманова
Хвилі Олентиря вулиця                                           	вулиця Хвилі Олентиря
Хмельницького вулиця                                            	вулиця Хмельницького
Хотинських Комсомольців вулиця                                  	вулиця Хотинських Комсомольців
Хотинського Повстання вулиця                                    	вулиця Хотинського Повстання
Хотинського Повстання провулок                                  	провулок Хотинського Повстання
Храпка вулиця                                                   	вулиця Храпка
Худякова вулиця                                                 	вулиця Худякова
Чайкіної вулиця                                                 	вулиця Чайкіної
Чайкіної провулок                                               	провулок Чайкіної
Чайковського вулиця                                             	вулиця Чайковського
Чапаєва вулиця                                                  	вулиця Чапаєва
Чапаєва провулок                                                	провулок Чапаєва
Чаплигіна вулиця                                                	вулиця Чаплигіна
Чарльза Дарвіна вулиця                                          	вулиця Чарльза Дарвіна
Челюскіна вулиця                                                	вулиця Челюскіна
Челюскінців вулиця                                              	вулиця Челюскінців
Чендея вулиця                                                   	вулиця Чендея
Чередниченка вулиця                                             	вулиця Чередниченка
Черемоша вулиця                                                 	вулиця Черемоша
Черемшини вулиця                                                	вулиця Черемшини
Чернишевського вулиця                                           	вулиця Чернишевського
Черняховського вулиця                                           	вулиця Черняховського
Чехова вулиця                                                   	вулиця Чехова
Чехова провулок                                                 	провулок Чехова
Чибінєєва вулиця                                                	вулиця Чибінєєва
Чкалова вулиця                                                  	вулиця Чкалова
Чорновіла вулиця                                                	вулиця Чорновіла
Чорновола вулиця                                                	вулиця Чорновола
Чорновола провулок                                              	провулок Чорновола
Чужбинського вулиця                                             	вулиця Чужбинського
Чужбинського провулок                                           	провулок Чужбинського
Чуляка вулиця                                                   	вулиця Чуляка
