1 Грудня вулиця                                                                      	вулиця 1 Грудня
Гетьмана Мазепи провулок                                                             	провулок Гетьмана Мазепи
Гижицького вулиця                                                                    	вулиця Гижицького
Глушенкова провулок                                                                  	провулок Глушенкова
Глібова вулиця                                                                       	вулиця Глібова
Глібова провулок                                                                     	провулок Глібова
Глінки вулиця                                                                        	вулиця Глінки
Гната Кузовкова вулиця                                                               	вулиця Гната Кузовкова
Гоголя вулиця                                                                        	вулиця Гоголя
Гоголя провулок                                                                      	провулок Гоголя
Гоголя проїзд                                                                        	проїзд Гоголя
Годованого вулиця                                                                    	вулиця Годованого
Годованця Микити вулиця                                                              	вулиця Микити Годованця
Годованця вулиця                                                                     	вулиця Годованця
Голованевського-Барського провулок                                                   	провулок Голованевського-Барського
Головатого провулок                                                                  	провулок Головатого
Головболгарбуд вулиця                                                                	вулиця Головболгарбуд
Головіна провулок                                                                    	провулок Головіна
Голоти провулок                                                                      	провулок Голоти
Гольдфадена провулок                                                                 	провулок Гольдфадена
Гонти вулиця                                                                         	вулиця Гонти
Гонти провулок                                                                       	провулок Гонти
Гончара вулиця                                                                       	вулиця Гончара
Гончара провулок                                                                     	провулок Гончара
Гончарова вулиця                                                                     	вулиця Гончарова
Гончарова провулок                                                                   	провулок Гончарова
Горбанчука вулиця                                                                    	вулиця Горбанчука
Горбанівка вулиця                                                                    	вулиця Горбанівка
Горбатова вулиця                                                                     	вулиця Горбатова
Горбатюка вулиця                                                                     	вулиця Горбатюка
Горбатюка провулок                                                                   	провулок Горбатюка
Горького вулиця                                                                      	вулиця Горького
Горького провулок                                                                    	провулок Горького
Гославського провулок                                                                	провулок Гославського
Гошинського вулиця                                                                   	вулиця Гошинського
Грабовського вулиця                                                                  	вулиця Грабовського
Гребля вулиця                                                                        	вулиця Гребля
Грибоєдова вулиця                                                                    	вулиця Грибоєдова
Григоренка провулок                                                                  	провулок Григоренка
Григорія Верьовки вулиця                                                             	вулиця Григорія Верьовки
Григорія Котовського вулиця                                                          	вулиця Григорія Котовського
Григорія Котовського провулок                                                        	провулок Григорія Котовського
Григорія Сковороди вулиця                                                            	вулиця Григорія Сковороди
Григорія Сковороди провулок                                                          	провулок Григорія Сковороди
Григорія Яруша вулиця                                                                	вулиця Григорія Яруша
Громова-Сельського вулиця                                                            	вулиця Громова-Сельського
Громової вулиця                                                                      	вулиця Громової
Грушевського вулиця                                                                  	вулиця Грушевського
Грушевського провулок                                                                	провулок Грушевського
Грушевського проспект                                                                	проспект Грушевського
Грінчуків вулиця                                                                     	вулиця Грінчуків
Гулака-Артемовського вулиця                                                          	вулиця Гулака-Артемовського
Гулеватого вулиця                                                                    	вулиця Гулеватого
Гулеватого провулок                                                                  	провулок Гулеватого
Гуменюка вулиця                                                                      	вулиця Гуменюка
Гуменюка провулок                                                                    	провулок Гуменюка
Гуменіски вулиця                                                                     	вулиця Гуменіски
Гунашевського вулиця                                                                 	вулиця Гунашевського
Гуні провулок                                                                        	провулок Гуні
Гуцалюка вулиця                                                                      	вулиця Гуцалюка
Гідності вулиця                                                                      	вулиця Гідності
Данила Галицького вулиця                                                             	вулиця Данила Галицького
Данила Галицького провулок                                                           	провулок Данила Галицького
Данила Короля провулок                                                               	провулок Данила Короля
Данченка вулиця                                                                      	вулиця Данченка
Дашка вулиця                                                                         	вулиця Дашка
Дванадцятихатка вулиця                                                               	вулиця Дванадцятихатка
Дейгана вулиця                                                                       	вулиця Дейгана
Декабристів вулиця                                                                   	вулиця Декабристів
Джиготи вулиця                                                                       	вулиця Джиготи
Джумаківка вулиця                                                                    	вулиця Джумаківка
Дзвінка вулиця                                                                       	вулиця Дзвінка
Дзержинського вулиця                                                                 	вулиця Дзержинського
Дзержинського провулок                                                               	провулок Дзержинського
Димитрова вулиця                                                                     	вулиця Димитрова
Димніча вулиця                                                                       	вулиця Димніча
Димінського вулиця                                                                   	вулиця Димінського
Длужнєвського вулиця                                                                 	вулиця Длужнєвського
Длужнєвського провулок                                                               	провулок Длужнєвського
Дмитра Іваха вулиця                                                                  	вулиця Дмитра Іваха
Дмитра Багалія вулиця                                                                	вулиця Дмитра Багалія
Дмитра Вишневецького вулиця                                                          	вулиця Дмитра Вишневецького
Дмитра Донцова вулиця                                                                	вулиця Дмитра Донцова
Дмитра Жлоби вулиця                                                                  	вулиця Дмитра Жлоби
Дмитра Мануїльського вулиця                                                          	вулиця Дмитра Мануїльського
Дмитра Мануїльського провулок                                                        	провулок Дмитра Мануїльського
Дмитра Саса вулиця                                                                   	вулиця Дмитра Саса
Дмитра Сидорова вулиця                                                               	вулиця Дмитра Сидорова
Дмитра Фурманова вулиця                                                              	вулиця Дмитра Фурманова
Дмитра Філімонова вулиця                                                             	вулиця Дмитра Філімонова
Добровольського вулиця                                                               	вулиця Добровольського
Добровольців вулиця                                                                  	вулиця Добровольців
Добролюбова вулиця                                                                   	вулиця Добролюбова
Добромир вулиця                                                                      	вулиця Добромир
Довженка вулиця                                                                      	вулиця Довженка
Довжок провулок                                                                      	провулок Довжок
Долина вулиця                                                                        	вулиця Долина
Донцова вулиця                                                                       	вулиця Донцова
Донцова провулок                                                                     	провулок Донцова
Дороніна провулок                                                                    	провулок Дороніна
Дорошенка вулиця                                                                     	вулиця Дорошенка
Дорошенка провулок                                                                   	провулок Дорошенка
Достоєвського вулиця                                                                 	вулиця Достоєвського
Достоєвського провулок                                                               	провулок Достоєвського
Драгоманова вулиця                                                                   	вулиця Драгоманова
Драгоманова провулок                                                                 	провулок Драгоманова
Драй-Хмари вулиця                                                                    	вулиця Драй-Хмари
Драча вулиця                                                                         	вулиця Драча
Друга Привокзальна вулиця                                                            	2-га Привокзальна вулиця
Друга вулиця                                                                         	2-га вулиця
Другий Проскурівський провулок                                                       	2-й Проскурівський провулок
Дружби Народів вулиця                                                                	вулиця Дружби Народів
Дружби вулиця                                                                        	вулиця Дружби
Дружби провулок                                                                      	провулок Дружби
Дубецького вулиця                                                                    	вулиця Дубецького
Дубініна вулиця                                                                      	вулиця Дубініна
Дундича вулиця                                                                       	вулиця Дундича
Діброва вулиця                                                                       	вулиця Діброва
Енгельса вулиця                                                                      	вулиця Енгельса
Енергетиків вулиця                                                                   	вулиця Енергетиків
Ернста Тельмана вулиця                                                               	вулиця Ернста Тельмана
Жданова вулиця                                                                       	вулиця Жданова
Жданова провулок                                                                     	провулок Жданова
Жені Дзюбчик вулиця                                                                  	вулиця Жені Дзюбчик
Житецького вулиця                                                                    	вулиця Житецького
Жовтневої Революції вулиця                                                           	вулиця Жовтневої Революції
Жукова вулиця                                                                        	вулиця Жукова
Жукова провулок                                                                      	провулок Жукова
Жуковського вулиця                                                                   	вулиця Жуковського
Жуковського провулок                                                                 	провулок Жуковського
Жухрая провулок                                                                      	провулок Жухрая
Заболотного вулиця                                                                   	вулиця Заболотного
Завадського вулиця                                                                   	вулиця Завадського
Завадського провулок                                                                 	провулок Завадського
Завалля вулиця                                                                       	вулиця Завалля
Закоханих вулиця                                                                     	вулиця Закоханих
Заньковецької вулиця                                                                 	вулиця Заньковецької
Заремби вулиця                                                                       	вулиця Заремби
Заріччя вулиця                                                                       	вулиця Заріччя
Заріччя провулок                                                                     	провулок Заріччя
Затонського вулиця                                                                   	вулиця Затонського
Затонського провулок                                                                 	провулок Затонського
Захисників України вулиця                                                            	вулиця Захисників України
Збарського вулиця                                                                    	вулиця Збарського
Збарського провулок                                                                  	провулок Збарського
Зв'язкова вулиця                                                                     	Звʼязкова вулиця
Зв'язківців провулок                                                                 	провулок Звʼязківців
Звитяги вулиця                                                                       	вулиця Звитяги
Зв’язківців вулиця                                                                   	вулиця Звʼязківців
Здоровʼя провулок                                                                    	провулок Здоровʼя
Здоров’я вулиця                                                                      	вулиця Здоровʼя
Зелена Діброва вулиця                                                                	вулиця Зелена Діброва
Земнухова вулиця                                                                     	вулиця Земнухова
Зеньковського проїзд                                                                 	проїзд Зеньковського
Зигмунда Квасьнєвського вулиця                                                       	вулиця Зигмунда Квасьнєвського
Злагоди вулиця                                                                       	вулиця Злагоди
Злагоди провулок                                                                     	провулок Злагоди
Зої Космодем'янської вулиця                                                          	вулиця Зої Космодемʼянської
Зої Космодем'янської провулок                                                        	провулок Зої Космодемʼянської
Зої Космодемʼянської вулиця                                                          	вулиця Зої Космодемʼянської
Зої Космодем’янської вулиця                                                          	вулиця Зої Космодемʼянської
Зубкова Івана вулиця                                                                 	вулиця Івана Зубкова
Йосипа Лапушкіна провулок                                                            	провулок Йосипа Лапушкіна
Каденюка вулиця                                                                      	вулиця Каденюка
Кадуб вулиця                                                                         	вулиця Кадуб
Кадученка вулиця                                                                     	вулиця Кадученка
Калинівка вулиця                                                                     	вулиця Калинівка
Калнишевського вулиця                                                                	вулиця Калнишевського
Калнишевського провулок                                                              	провулок Калнишевського
Калініна вулиця                                                                      	вулиця Калініна
Калініна провулок                                                                    	провулок Калініна
Кам'янець-Подільська вулиця                                                          	Камʼянець-Подільська вулиця
Кам'янецька вулиця                                                                   	Камʼянецька вулиця
Каманіна вулиця                                                                      	вулиця Каманіна
Кам‘янецька вулиця                                                                   	Камʼянецька вулиця
Кам’яна вулиця                                                                       	Камʼяна вулиця
Кам’янецька вулиця                                                                   	Камʼянецька вулиця
Кам’янецький провулок                                                                	Камʼянецький провулок
Кам’янчанина вулиця                                                                  	вулиця Камʼянчанина
Кар'єрна вулиця                                                                      	Карʼєрна вулиця
Карбишева вулиця                                                                     	вулиця Карбишева
Карвасари вулиця                                                                     	вулиця Карвасари
Карла Лібкнехта вулиця                                                               	вулиця Карла Лібкнехта
Карла Лібкнехта провулок                                                             	провулок Карла Лібкнехта
Карла Лібнекхта вулиця                                                               	вулиця Карла Лібнекхта
Карла Маркса вулиця                                                                  	вулиця Карла Маркса
Карла Маркса провулок                                                                	провулок Карла Маркса
Кармалюка вулиця                                                                     	вулиця Кармалюка
Кармалюка провулок                                                                   	провулок Кармалюка
Кармелюка вулиця                                                                     	вулиця Кармелюка
Кармелюка провулок                                                                   	провулок Кармелюка
Карпенка-Карого вулиця                                                               	вулиця Карпенка-Карого
Карпенка-Карого провулок                                                             	провулок Карпенка-Карого
Катерини Білокур вулиця                                                              	вулиця Катерини Білокур
Катерини Зарицької вулиця                                                            	вулиця Катерини Зарицької
Катерини Рубчакової вулиця                                                           	вулиця Катерини Рубчакової
Качинського вулиця                                                                   	вулиця Качинського
Качура вулиця                                                                        	вулиця Качура
Квітки Цісик вулиця                                                                  	вулиця Квітки Цісик
Квітки-Основ'яненка вулиця                                                           	вулиця Квітки-Основʼяненка
Келдиша вулиця                                                                       	вулиця Келдиша
Кириченка вулиця                                                                     	вулиця Кириченка
Клавдії Ємилянівни вулиця                                                            	вулиця Клавдії Ємилянівни
Клари Цеткін вулиця                                                                  	вулиця Клари Цеткін
Климовича вулиця                                                                     	вулиця Климовича
Княгині Ольги вулиця                                                                 	вулиця Княгині Ольги
Княгині Ольги провулок                                                               	провулок Княгині Ольги
Князя Володимира вулиця                                                              	вулиця Князя Володимира
Князя Острозького вулиця                                                             	вулиця Князя Острозького
Князя Романа вулиця                                                                  	вулиця Князя Романа
Князя Святослава вулиця                                                              	вулиця Князя Святослава
Князів Коріатовичів вулиця                                                           	вулиця Князів Коріатовичів
Князів Острозьких вулиця                                                             	вулиця Князів Острозьких
Князів Сангушко вулиця                                                               	вулиця Князів Сангушко
Князів Сангушко провулок                                                             	провулок Князів Сангушко
Князів Сангушків вулиця                                                              	вулиця Князів Сангушків
Князів Сангушків провулок                                                            	провулок Князів Сангушків
Кобеєва вулиця                                                                       	вулиця Кобеєва
Кобзаря вулиця                                                                       	вулиця Кобзаря
Кобзаря провулок                                                                     	провулок Кобзаря
Кобзарів вулиця                                                                      	вулиця Кобзарів
Кобилянської вулиця                                                                  	вулиця Кобилянської
Кобилянської провулок                                                                	провулок Кобилянської
Ковалівка вулиця                                                                     	вулиця Ковалівка
Ковпака вулиця                                                                       	вулиця Ковпака
Кожедуба вулиця                                                                      	вулиця Кожедуба
Кожедуба провулок                                                                    	провулок Кожедуба
Козака вулиця                                                                        	вулиця Козака
Козицького вулиця                                                                    	вулиця Козицького
Козлова вулиця                                                                       	вулиця Козлова
Колодія вулиця                                                                       	вулиця Колодія
Коломійця вулиця                                                                     	вулиця Коломійця
Кольчака вулиця                                                                      	вулиця Кольчака
Комарова вулиця                                                                      	вулиця Комарова
Комарова провулок                                                                    	провулок Комарова
Комнацького вулиця                                                                   	вулиця Комнацького
Комунарів вулиця                                                                     	вулиця Комунарів
Комунарів провулок                                                                   	провулок Комунарів
Комінтерну вулиця                                                                    	вулиця Комінтерну
Кондратюка вулиця                                                                    	вулиця Кондратюка
Коновальця вулиця                                                                    	вулиця Коновальця
Конституції вулиця                                                                   	вулиця Конституції
Конєва вулиця                                                                        	вулиця Конєва
Коперника вулиця                                                                     	вулиця Коперника
Корман вулиця                                                                        	вулиця Корман
Коробчука вулиця                                                                     	вулиця Коробчука
Короленка вулиця                                                                     	вулиця Короленка
Короленка провулок                                                                   	провулок Короленка
Корольова вулиця                                                                     	вулиця Корольова
Корольова провулок                                                                   	провулок Корольова
Короля Данила вулиця                                                                 	вулиця Короля Данила
Короля Данила провулок                                                               	провулок Короля Данила
Королівка вулиця                                                                     	вулиця Королівка
Коротченка вулиця                                                                    	вулиця Коротченка
Коротченка провулок                                                                  	провулок Коротченка
Корчагіна вулиця                                                                     	вулиця Корчагіна
Коріатовичів провулок                                                                	провулок Коріатовичів
Косача вулиця                                                                        	вулиця Косача
Косачів вулиця                                                                       	вулиця Косачів
Косинського вулиця                                                                   	вулиця Косинського
Космодем'янської вулиця                                                              	вулиця Космодемʼянської
Космонавтів вулиця                                                                   	вулиця Космонавтів
Космонавтів провулок                                                                 	провулок Космонавтів
Костишина вулиця                                                                     	вулиця Костишина
Костроміна вулиця                                                                    	вулиця Костроміна
Костюшка вулиця                                                                      	вулиця Костюшка
Костя Місевича вулиця                                                                	вулиця Костя Місевича
Костя Степанкова вулиця                                                              	вулиця Костя Степанкова
Костянтина Острозького вулиця                                                        	вулиця Костянтина Острозького
Котика В. вулиця                                                                     	вулиця В. Котика
Котика вулиця                                                                        	вулиця Котика
Котляревського вулиця                                                                	вулиця Котляревського
Котляревського провулок                                                              	провулок Котляревського
Котовського вулиця                                                                   	вулиця Котовського
Котовського провулок                                                                 	провулок Котовського
Котовського проїзд                                                                   	проїзд Котовського
Коцюбинського вулиця                                                                 	вулиця Коцюбинського
Коцюбинського провулок                                                               	провулок Коцюбинського
Коцюбинського проїзд                                                                 	проїзд Коцюбинського
Кочубея вулиця                                                                       	вулиця Кочубея
Кошарського вулиця                                                                   	вулиця Кошарського
Кошарського провулок                                                                 	провулок Кошарського
Кошового вулиця                                                                      	вулиця Кошового
Кошового провулок                                                                    	провулок Кошового
Краснодонців вулиця                                                                  	вулиця Краснодонців
Красовського вулиця                                                                  	вулиця Красовського
Красовського провулок                                                                	провулок Красовського
Красінських вулиця                                                                   	вулиця Красінських
Крашевського вулиця                                                                  	вулиця Крашевського
Кривоноса вулиця                                                                     	вулиця Кривоноса
Криленка вулиця                                                                      	вулиця Криленка
Крилова вулиця                                                                       	вулиця Крилова
Крилова провулок                                                                     	провулок Крилова
Кримського вулиця                                                                    	вулиця Кримського
Кринички вулиця                                                                      	вулиця Кринички
Крип’якевича вулиця                                                                  	вулиця Крипʼякевича
Кропивницького вулиця                                                                	вулиця Кропивницького
Крупcької провулок                                                                   	провулок Крупської
Крупської вулиця                                                                     	вулиця Крупської
Крупської провулок                                                                   	провулок Крупської
Круча вулиця                                                                         	вулиця Круча
Крушельницької вулиця                                                                	вулиця Крушельницької
Крушельницької провулок                                                              	провулок Крушельницької
Кріпосний Вал вулиця                                                                 	вулиця Кріпосний Вал
Кудрявцева вулиця                                                                    	вулиця Кудрявцева
Кудрянки провулок                                                                    	провулок Кудрянки
Кузнецова вулиця                                                                     	вулиця Кузнецова
Кузнєцова вулиця                                                                     	вулиця Кузнєцова
Кузьми Скрябіна провулок                                                             	провулок Кузьми Скрябіна
Куйбишева вулиця                                                                     	вулиця Куйбишева
Кулика вулиця                                                                        	вулиця Кулика
Кулишівка вулиця                                                                     	вулиця Кулишівка
Кумановської вулиця                                                                  	вулиця Кумановської
Купріна вулиця                                                                       	вулиця Купріна
Купріна провулок                                                                     	провулок Купріна
Купріна проїзд                                                                       	проїзд Купріна
Купчани вулиця                                                                       	вулиця Купчани
Курбаса вулиця                                                                       	вулиця Курбаса
Курчатова вулиця                                                                     	вулиця Курчатова
Курчатова провулок                                                                   	провулок Курчатова
Курчатова проспект                                                                   	проспект Курчатова
Кутузова вулиця                                                                      	вулиця Кутузова
Кутузова провулок                                                                    	провулок Кутузова
Кухарука вулиця                                                                      	вулиця Кухарука
