700-річчя Перегінська вулиця	вулиця 700-річчя Перегінська
Ковалевської вулиця	вулиця Ковалевської
Ковалівка вулиця	вулиця Ковалівка
Коваля вулиця	вулиця Коваля
Ковбуза вулиця	вулиця Ковбуза
Ковжуна вулиця	вулиця Ковжуна
Ковпака вулиця	вулиця Ковпака
Козака вулиця	вулиця Козака
Козакевича вулиця	вулиця Козакевича
Козланюка вулиця	вулиця Козланюка
Козоріса вулиця	вулиця Козоріса
Козьменка вулиця	вулиця Козьменка
Колесси вулиця	вулиця Колесси
Колодзінського вулиця	вулиця Колодзінського
Коломийчука вулиця	вулиця Коломийчука
Колюшки вулиця	вулиця Колюшки
Комарова вулиця	вулиця Комарова
Коника вулиця	вулиця Коника
Коновальця вулиця	вулиця Коновальця
Коновальця провулок	провулок Коновальця
Конституції України вулиця	вулиця Конституції України
Констянтина Федирко вулиця	вулиця Констянтина Федирко
Коперника вулиця	вулиця Коперника
Коперніка вулиця	вулиця Коперніка
Корбутяка вулиця	вулиця Корбутяка
Коритовського вулиця	вулиця Коритовського
Корнила Устияновича вулиця	вулиця Корнила Устияновича
Корнійчука вулиця	вулиця Корнійчука
Короленка вулиця	вулиця Короленка
Королівка вулиця	вулиця Королівка
Корольова вулиця	вулиця Корольова
Корольова провулок	провулок Корольова
Короля Данила вулиця	вулиця Короля Данила
Космонавтів вулиця	вулиця Космонавтів
Коссака вулиця	вулиця Коссака
Кості Левицького вулиця	вулиця Кості Левицького
Костомарова вулиця	вулиця Костомарова
Костя Левицького вулиця	вулиця Костя Левицького
Костянтини Малицької вулиця	вулиця Костянтини Малицької
Котляревського вулиця	вулиця Котляревського
Котляревського провулок	провулок Котляревського
Коцорина вулиця	вулиця Коцорина
Коцюбинського вулиця	вулиця Коцюбинського
Кошового Костя Гордієнка вулиця	вулиця Кошового Костя Гордієнка
Країще вулиця	вулиця Країще
Крайківського вулиця	вулиця Крайківського
Красінського вулиця	вулиця Красінського
Краснодонців вулиця	вулиця Краснодонців
Кривенького вулиця	вулиця Кривенького
Кривець вулиця	вулиця Кривець
Кривня Горішня вулиця	вулиця Кривня Горішня
Кривня Долішня вулиця	вулиця Кривня Долішня
Кривоноса вулиця	вулиця Кривоноса
Кривоноса провулок	провулок Кривоноса
Кривуля вулиця	вулиця Кривуля
Кринички вулиця	вулиця Кринички
Крип’якевича вулиця	вулиця Крипʼякевича
Кропивницького вулиця	вулиця Кропивницького
Крушельницьких вулиця	вулиця Крушельницьких
Крушельницького вулиця	вулиця Крушельницького
Крушельницької вулиця	вулиця Крушельницької
Крушина вулиця	вулиця Крушина
Кубалівка вулиця	вулиця Кубалівка
Кубійовичів вулиця	вулиця Кубійовичів
Куйбишева вулиця	вулиця Куйбишева
Куліша вулиця	вулиця Куліша
Кульчицької вулиця	вулиця Кульчицької
Купчинського вулиця	вулиця Купчинського
Курбаса вулиця	вулиця Курбаса
Курінного Скуби вулиця	вулиця Курінного Скуби
Курінного Чорноти вулиця	вулиця Курінного Чорноти
Кут вулиця	вулиця Кут
Кути вулиця	вулиця Кути
Лаврищева вулиця	вулиця Лаврищева
Ламана вулиця	вулиця Ламана
Лани вулиця	вулиця Лани
Ласійчука Василя вулиця	вулиця Василя Ласійчука
Лебедя вулиця	вулиця Лебедя
Лева Ребета вулиця	вулиця Лева Ребета
Левада вулиця	вулиця Левада
Левади вулиця	вулиця Левади
Левицького вулиця	вулиця Левицького
Левицької-Бесараб вулиця	вулиця Левицької-Бесараб
Левка Бачинського вулиця	вулиця Левка Бачинського
Левка Дольницького вулиця	вулиця Левка Дольницького
Левка Лук’яненка вулиця	вулиця Левка Лукʼяненка
Левка Семиренка вулиця	вулиця Левка Семиренка
Леніна вулиця	вулиця Леніна
Ленкавського вулиця	вулиця Ленкавського
Ленкавського провулок	провулок Ленкавського
Леона Куленія вулиця	вулиця Леона Куленія
Леонтовича вулиця	вулиця Леонтовича
Лепкого вулиця	вулиця Лепкого
Лермонтова вулиця	вулиця Лермонтова
Лесі Українки бульвар	бульвар Лесі Українки
Лесі Українки вулиця	вулиця Лесі Українки
Лесі Українки провулок	провулок Лесі Українки
Лесі Українки проспект	проспект Лесі Українки
Лесіва вулиця	вулиця Лесіва
Леся Гринюка вулиця	вулиця Леся Гринюка
Леся Курбаса вулиця	вулиця Леся Курбаса
Леся Мартовича вулиця	вулиця Леся Мартовича
Леся Мартовича площа	площа Леся Мартовича
Липова-Осада вулиця	вулиця Липова-Осада
Лисенка вулиця	вулиця Лисенка
Литвина вулиця	вулиця Литвина
Ліни Костенко вулиця	вулиця Ліни Костенко
Лісорубів вулиця	вулиця Лісорубів
Ломоносова вулиця	вулиця Ломоносова
Лопушанського вулиця	вулиця Лопушанського
Луги вулиця	вулиця Луги
Луги провулок	провулок Луги
Лукача вулиця	вулиця Лукача
Луки Данкевича вулиця	вулиця Луки Данкевича
Луки Загірські вулиця	вулиця Луки Загірські
Лукіяновича вулиця	вулиця Лукіяновича
Лучка вулиця	вулиця Лучка
Любомира Гузара вулиця	вулиця Любомира Гузара
Людвіга ван Бетховена вулиця	вулиця Людвіга ван Бетховена
Людкевича вулиця	вулиця Людкевича
Люкляна вулиця	вулиця Люкляна
Мазепи вулиця	вулиця Мазепи
Мазепи провулок	провулок Мазепи
Мазурика вулиця	вулиця Мазурика
Майора Прута вулиця	вулиця Майора Прута
Макаренка вулиця	вулиця Макаренка
Маковея вулиця	вулиця Маковея
Маковея провулок	провулок Маковея
Макогона вулиця	вулиця Макогона
Максима Березовського вулиця	вулиця Максима Березовського
Максима Залізняка вулиця	вулиця Максима Залізняка
Максима Рильського вулиця	вулиця Максима Рильського
Максимовича вулиця	вулиця Максимовича
Макуха вулиця	вулиця Макуха
Малицької вулиця	вулиця Малицької
Малишка вулиця	вулиця Малишка
Мандрика вулиця	вулиця Мандрика
Маргарити Сельської вулиця	вулиця Маргарити Сельської
Марії Заньковецької вулиця	вулиця Марії Заньковецької
Марії Підгірянки вулиця	вулиця Марії Підгірянки
Марії Слободівни вулиця	вулиця Марії Слободівни
Марійки Підгір’янки вулиця	вулиця Марійки Підгірʼянки
Марійки Підгірянки вулиця	вулиця Марійки Підгірянки
Марка Боєслава вулиця	вулиця Марка Боєслава
Марка Вовчка вулиця	вулиця Марка Вовчка
Марка Кропивницького вулиця	вулиця Марка Кропивницького
Марка Черемшини вулиця	вулиця Марка Черемшини
Марка Черемшини провулок	провулок Марка Черемшини
Маркіяна Шашкевича вулиця	вулиця Маркіяна Шашкевича
Мартина Королюка вулиця	вулиця Мартина Королюка
Мартовича вулиця	вулиця Мартовича
Марусі Чурай вулиця	вулиця Марусі Чурай
Марченича вулиця	вулиця Марченича
Марченка вулиця	вулиця Марченка
Матейки вулиця	вулиця Матейки
Матієва-Мельника вулиця	вулиця Матієва-Мельника
Матійчука вулиця	вулиця Матійчука
Медведівка вулиця	вулиця Медведівка
Межева-сад вулиця	вулиця Межева-Сад
Межигороди вулиця	вулиця Межигороди
Мелетія Кічури вулиця	вулиця Мелетія Кічури
Мельника вулиця	вулиця Мельника
Мельничука вулиця	вулиця Мельничука
Менделєєва вулиця	вулиця Менделєєва
Мендичевського вулиця	вулиця Мендичевського
Механізаторів вулиця	вулиця Механізаторів
Мечникова вулиця	вулиця Мечникова
Микитюка вулиця	вулиця Микитюка
Миколайчука вулиця	вулиця Миколайчука
Миколи Аркаса вулиця	вулиця Миколи Аркаса
Миколи Арсенича вулиця	вулиця Миколи Арсенича
Миколи Арсенича-Березовського вулиця	вулиця Миколи Арсенича-Березовського
Миколи Бенцаля вулиця	вулиця Миколи Бенцаля
Миколи Биха вулиця	вулиця Миколи Биха
Миколи Верещинського вулиця	вулиця Миколи Верещинського
Миколи Вороного вулиця	вулиця Миколи Вороного
Миколи Гоголя вулиця	вулиця Миколи Гоголя
Миколи Костомарова вулиця	вулиця Миколи Костомарова
Миколи Лебедя вулиця	вулиця Миколи Лебедя
Миколи Леонтовича вулиця	вулиця Миколи Леонтовича
Миколи Лисенка вулиця	вулиця Миколи Лисенка
Миколи Міхновського вулиця	вулиця Миколи Міхновського
Миколи Рибчука вулиця	вулиця Миколи Рибчука
Миколи Сабата вулиця	вулиця Миколи Сабата
Миколи Садовського вулиця	вулиця Миколи Садовського
Миколи Саєвича вулиця	вулиця Миколи Саєвича
Миколи Сарма-Соколовського вулиця	вулиця Миколи Сарма-Соколовського
Миколи Хвильового вулиця	вулиця Миколи Хвильового
Милого вулиця	вулиця Милого
Мира вулиця	вулиця Мира
Мирона Забарила вулиця	вулиця Мирона Забарила
Мирона Левицького вулиця	вулиця Мирона Левицького
Мирона Тарнавського вулиця	вулиця Мирона Тарнавського
Мирослава Ірчана вулиця	вулиця Мирослава Ірчана
Мирослава Лущака вулиця	вулиця Мирослава Лущака
Мирослави Кобилянської вулиці	вулиця Мирослави Кобилянської
Миру вулиця	вулиця Миру
Миру провулок	провулок Миру
Митрополита Андрея Шептицького вулиця	вулиця Митрополита Андрея Шептицького
Михайла Бажанського вулиця	вулиця Михайла Бажанського
Михайла Бойчука вулиця	вулиця Михайла Бойчука
Михайла Вербицького вулиця	вулиця Михайла Вербицького
Михайла Галущинського вулиця	вулиця Михайла Галущинського
Михайла Глінки вулиця	вулиця Михайла Глінки
Михайла Голинського вулиця	вулиця Михайла Голинського
Михайла Грушевського вулиця	вулиця Михайла Грушевського
Михайла Грушевського проспект	проспект Михайла Грушевського
Михайла Драгоманова вулиця	вулиця Михайла Драгоманова
Михайла Зорія вулиця	вулиця Михайла Зорія
Михайла Коцюбинського вулиця	вулиця Михайла Коцюбинського
Михайла Коцюбинського площа	площа Михайла Коцюбинського
Михайла Коцюбинського провулок	провулок Михайла Коцюбинського
Михайла Лермонтова вулиця	вулиця Михайла Лермонтова
Михайла Мочульського вулиця	вулиця Михайла Мочульського
Михайла Мулика вулиця	вулиця Михайла Мулика
Михайла Павлика вулиця	вулиця Михайла Павлика
Михайла Саведчука вулиця	вулиця Михайла Саведчука
Михайла Старицького вулиця	вулиця Михайла Старицького
Михайла Фіголя вулиця	вулиця Михайла Фіголя
Михайла Хромея вулиця	вулиця Михайла Хромея
Михайлевичів вулиця	вулиця Михайлевичів
Михайлюка вулиця	вулиця Михайлюка
Міхлі вулиця	вулиця Міхлі
Міцкевича вулиця	вулиця Міцкевича
Міцкевича площа	площа Міцкевича
Мічуріна вулиця	вулиця Мічуріна
Млинівка вулиця	вулиця Млинівка
Могильницького вулиця	вулиця Могильницького
Модеста Сосенка вулиця	вулиця Модеста Сосенка
Молодіжка вулиця	вулиця Молодіжка
Морозенка вулиця	вулиця Морозенка
Моцарта вулиця	вулиця Моцарта
Мочарки вулиця	вулиця Мочарки
Мочернюка вулиця	вулиця Мочернюка
Мошури вулиця	вулиця Мошури
Мусійовича вулиця	вулиця Мусійовича
Мухи вулиця	вулиця Мухи
Над Гуком вулиця	вулиця Над Гуком
Над Потоком вулиця	вулиця Над Потоком
Над Рудкою вулиця	вулиця Над Рудкою
Надії провулок	провулок Надії
Надій вулиця	вулиця Надій
Назарева вулиця	вулиця Назарева
Назаренка вулиця	вулиця Назаренка
Назарія Яремчука вулиця	вулиця Назарія Яремчука
Наливайка вулиця	вулиця Наливайка
Народного Артиста Василя Попадюка вулиця	вулиця Народного Артиста Василя Попадюка
Нафтовиків вулиця	вулиця Нафтовиків
Національної Гвардії вулиця	вулиця Національної Гвардії
Небесної Сотні вулиця	вулиця Небесної Сотні
Незалежності бульвар	бульвар Незалежності
Незалежності вулиця	вулиця Незалежності
Незалежності майдан	майдан Незалежності
Незалежності площа	площа Незалежності
Незалежності провулок	провулок Незалежності
Незалежності проспект	проспект Незалежності
Некрасова вулиця	вулиця Некрасова
Нескорених вулиця	вулиця Нескорених
Нестайка вулиця	вулиця Нестайка
Нестора Гаморака вулиця	вулиця Нестора Гаморака
Нестора Нижанківського вулиця	вулиця Нестора Нижанківського
Нечая вулиця	вулиця Нечая
Нечуя-Левицького вулиця	вулиця Нечуя-Левицького
Нижанківського вулиця	вулиця Нижанківського
Никифоряка вулиця	вулиця Никифоряка
Новаківського вулиця	вулиця Новаківського
Новгородського вулиця	вулиця Новгородського
Новий Світ вулиця	вулиця Новий Світ
Новоселиця вулиця	вулиця Новоселиця
Новоселів вулиця	вулиця Новоселів
Об’їздна вулиця	Обʼїздна вулиця
Об’їзна вулиця	Обʼїзна вулиця
Обліски вулиця	вулиця Обліски
Обозище вулиця	вулиця Обозище
Огарьова вулиця	вулиця Огарьова
Озаркевичів вулиця	вулиця Озаркевичів
Оксани Грицей вулиця	вулиця Оксани Грицей
Олега Ольжича вулиця	вулиця Олега Ольжича
Олександра Довженка вулиця	вулиця Олександра Довженка
Олександра Кукурби вулиця	вулиця Олександра Кукурби
Олександра Олеся вулиця	вулиця Олександра Олеся
Олександра Пархоменка вулиця	вулиця Олександра Пархоменка
Олександра Пушкіна вулиця	вулиця Олександра Пушкіна
Олександра Русина вулиця	вулиця Олександра Русина
Олександра Савицького вулиця	вулиця Олександра Савицького
Олександра Тисовського вулиця	вулиця Олександра Тисовського
Олекси Гірника вулиця	вулиця Олекси Гірника
Олекси Довбуша вулиця	вулиця Олекси Довбуша
Олекси Ковбуза вулиця	вулиця Олекси Ковбуза
Олекси Новаківського вулиця	вулиця Олекси Новаківського
Олекси Скалозуба вулиця	вулиця Олекси Скалозуба
Олексюка вулиця	вулиця Олексюка
Олени Кисілевської вулиця	вулиця Олени Кисілевської
Олени Кульчицької вулиця	вулиця Олени Кульчицької
Олени Михнюк вулиця	вулиця Олени Михнюк
Олени Пчілки вулиця	вулиця Олени Пчілки
Олени Степанівни вулиця	вулиця Олени Степанівни
Олени Степанівни провулок	провулок Олени Степанівни
Олеся вулиця	вулиця Олеся
Олеся Гончара вулиця	вулиця Олеся Гончара
Олійника вулиця	вулиця Олійника
Ольги Барчинської вулиця	вулиця Ольги Барчинської
Ольги Басараб вулиця	вулиця Ольги Басараб
Ольги Дучимінської вулиця	вулиця Ольги Дучимінської
Ольги Кисілевської вулиця	вулиця Ольги Кисілевської
Ольги Кобилянської вулиця	вулиця Ольги Кобилянської
Ольги Рошкевич вулиця	вулиця Ольги Рошкевич
Ольги Щерби вулиця	вулиця Ольги Щерби
Ольжича вулиця	вулиця Ольжича
Омнога вулиця	вулиця Омнога
Опанаса Заливахи вулиця	вулиця Опанаса Заливахи
Опільського вулиця	вулиця Опільського
Опришків вулиця	вулиця Опришків
Орищака вулиця	вулиця Орищака
Осада Червона вулиця	вулиця Осада Червона
Осередок вулиця	вулиця Осередок
Осипа Куриласа вулиця	вулиця Осипа Куриласа
Осипа Маковея вулиця	вулиця Осипа Маковея
Осипа Назарука провулок	провулок Осипа Назарука
Осипа Сорохтея вулиця	вулиця Осипа Сорохтея
Осипа Турянського вулиця	вулиця Осипа Турянського
Осмомисла вулиця	вулиця Осмомисла
Остапа Вишні вулиця	вулиця Остапа Вишні
Остапа Терлецького вулиця	вулиця Остапа Терлецького
Островського вулиця	вулиця Островського
Отамана Семена Горука вулиця	вулиця Отамана Семена Горука
Отця Бабина вулиця	вулиця Отця Бабина
Отця Володимира Сухого вулиця	вулиця Отця Володимира Сухого
Отця Івана Блавацького вулиця	вулиця Отця Івана Блавацького
Отця Миколи Капустинського вулиця	вулиця Отця Миколи Капустинського
Отця Михайла Косила вулиця	вулиця Отця Михайла Косила
Отця Поповича вулиця	вулиця Отця Поповича
П’ядицька вулиця	Пʼядицька вулиця
Павла Бабійчука вулиця	вулиця Павла Бабійчука
Павла Полуботка вулиця	вулиця Павла Полуботка
Павла Скоропадського вулиця	вулиця Павла Скоропадського
Павла Тичини вулиця	вулиця Павла Тичини
Павла Чубинського вулиця	вулиця Павла Чубинського
Павлика вулиця	вулиця Павлика
Павлика провулок	провулок Павлика
Павлова вулиця	вулиця Павлова
Павлусевича вулиця	вулиця Павлусевича
Павлюка вулиця	вулиця Павлюка
Палія вулиця	вулиця Палія
Пам'яті вулиця	вулиця Памʼяті
Панаса Мирного вулиця	вулиця Панаса Мирного
Пароха Костянтина Балицького вулиця	вулиця Пароха Костянтина Балицького
Пархоменка вулиця	вулиця Пархоменка
Патона вулиця	вулиця Патона
Патріарха Володимира вулиця	вулиця Патріарха Володимира
Патріарха Йосипа Сліпого вулиця	вулиця Патріарха Йосипа Сліпого
Патрієва вулиця	вулиця Патрієва
Патрійчука вулиця	вулиця Патрійчука
Пачовського вулиця	вулиця Пачовського
Пашницького вулиця	вулиця Пашницького
Перемоги вулиця	вулиця Перемоги
Перемоги провулок	провулок Перемоги
Перуцького вулиця	вулиця Перуцького
Петлюри вулиця	вулиця Петлюри
Петра Андрусіва вулиця	вулиця Петра Андрусіва
Петра Василишина вулиця	вулиця Петра Василишина
Петра Васкула вулиця	вулиця Петра Васкула
Петра Васкули вулиця	вулиця Петра Васкули
Петра Дорошенка вулиця	вулиця Петра Дорошенка
Петра Калнишевського вулиця	вулиця Петра Калнишевського
Петра Калнишевського провулок	провулок Петра Калнишевського
Петра Козланюка вулиця	вулиця Петра Козланюка
Петра Майстра вулиця	вулиця Петра Майстра
Петра Могили вулиця	вулиця Петра Могили
Петра Ніщинського вулиця	вулиця Петра Ніщинського
Петра Сагайдачного вулиця	вулиця Петра Сагайдачного
Петра Чайковського вулиця	вулиця Петра Чайковського
Петраша вулиця	вулиця Петраша
Петрушевича вулиця	вулиця Петрушевича
Пилипа Орлика вулиця	вулиця Пилипа Орлика
Пирогова вулиця	вулиця Пирогова
Підберег вулиця	вулиця Підберег
Підгір’я вулиця	вулиця Підгірʼя
Підгірка вулиця	вулиця Підгірка
Підгірянки вулиця	вулиця Підгірянки
Підгора вулиця	вулиця Підгора
Підгребінь вулиця	вулиця Підгребінь
Підділ вулиця	вулиця Підділ
Підзамок вулиця	вулиця Підзамок
Підзамче вулиця	вулиця Підзамче
Підкова вулиця	вулиця Підкова
Підкови вулиця	вулиця Підкови
Підлісся вулиця	вулиця Підлісся
Підмарика вулиця	вулиця Підмарика
Підріг вулиця	вулиця Підріг
Пінки вулиця	вулиця Пінки
Пісецького вулиця	вулиця Пісецького
Плав’юка вулиця	вулиця Плавʼюка
Плебанія вулиця	вулиця Плебанія
Плешкана вулиця	вулиця Плешкана
Площа Івана Франка	площа Івана Франка
Площа Ринок вулиця	вулиця Площа Ринок
Площа Роксолани	площа Роксолани
Повстанців вулиця	вулиця Повстанців
Покрова вулиця	вулиця Покрова
Полідовича вулиця	вулиця Полідовича
Полковника Василя Андрусяка вулиця	вулиця Полковника Василя Андрусяка
Полковника Грома вулиця	вулиця Полковника Грома
Полковника Морозенка вулиця	вулиця Полковника Морозенка
Полковника Різуна-Грегіта вулиця	вулиця Полковника Різуна-Грегіта
Полковника Семена Палія вулиця	вулиця Полковника Семена Палія
Полковника Топоровського вулиця	вулиця Полковника Топоровського
Полотнюків вулиця	вулиця Полотнюків
Полуботка вулиця	вулиця Полуботка
Поляна вулиця	вулиця Поляна
Помаранчевої революції вулиця	вулиця Помаранчевої Революції
Помірки вулиця	вулиця Помірки
Попадюка вулиця	вулиця Попадюка
Попереччина вулиця	вулиця Попереччина
Попова вулиця	вулиця Попова
Поповича вулиця	вулиця Поповича
Потоцького вулиця	вулиця Потоцького
Правди вулиця	вулиця Правди
Пржевальського вулиця	вулиця Пржевальського
Прийми вулиця	вулиця Прийми
Причіл вулиця	вулиця Причіл
Пріски вулиця	вулиця Пріски
Прокіпчука вулиця	вулиця Прокіпчука
Прокопа Мостовича вулиця	вулиця Прокопа Мостовича
Прокопівка вулиця	вулиця Прокопівка
Прокоповича вулиця	вулиця Прокоповича
Просвіти вулиця	вулиця Просвіти
Професора Богдана Левицького вулиця	вулиця Професора Богдана Левицького
Професора Івана Горбачевського вулиця	вулиця Професора Івана Горбачевського
Професора Пулюя вулиця	вулиця Професора Пулюя
Проценка вулиця	вулиця Проценка
Прошака вулиця	вулиця Прошака
Прут вулиця	вулиця Прут
Пстрака вулиця	вулиця Пстрака
Пулюя вулиця	вулиця Пулюя
Пушкіна вулиця	вулиця Пушкіна
Пчілки вулиця	вулиця Пчілки
Радіщева вулиця	вулиця Радіщева
Радова Ліва вулиця	вулиця Радова Ліва
Радова Права вулиця	вулиця Радова Права
Рамішвіллі вулиця	вулиця Рамішвіллі
Рафайловець вулиця	вулиця Рафайловець
Реміснича вулиця	вулиця Реміснича
Решетів провулок	провулок Решетів
Рєпіна вулиця	вулиця Рєпіна
Рилєєва вулиця	вулиця Рилєєва
Рильського вулиця	вулиця Рильського
Римика вулиця	вулиця Римика
Ринок вулиця	вулиця Ринок
Ринок площа	площа Ринок
Різдва майдан	майдан Різдва
Річки вулиця	вулиця Річки
Робітнича вулиця	вулиця Робітнича
Роговиця вулиця	вулиця Роговиця
Родини Крушельницьких вулиця	вулиця Родини Крушельницьких
Родини Кузьми вулиця	вулиця Родини Кузьми
Родини Окуневських вулиця	вулиця Родини Окуневських
Рожанського вулиця	вулиця Рожанського
Роксолани вулиця	вулиця Роксолани
Роксолани площа	площа Роксолани
Романа Гурика вулиця	вулиця Романа Гурика
Романа Іваничука вулиця	вулиця Романа Іваничука
Романа Купчинського вулиця	вулиця Романа Купчинського
Романа Левицького вулиця	вулиця Романа Левицького
Романа Рубінгера вулиця	вулиця Романа Рубінгера
Романа Ставничого вулиця	вулиця Романа Ставничого
Романа Шипайла вулиця	вулиця Романа Шипайла
Романа Шухевича вулиця	вулиця Романа Шухевича
Романа Яросевича вулиця	вулиця Романа Яросевича
Ромена Роллана вулиця	вулиця Ромена Роллана
Ропша вулиця	вулиця Ропша
Рубінгера вулиця	вулиця Рубінгера
Рубчака вулиця	вулиця Рубчака
Руданського вулиця	вулиця Руданського
Рудика вулиця	вулиця Рудика
Руднева вулиця	вулиця Руднева
Руднєва вулиця	вулиця Руднєва
Рудннєва вулиця	вулиця Рудннєва
Савчукова вулиця	вулиця Савчукова
Сагайдачних вулиця	вулиця Сагайдачних
Сагайдачного вулиця	вулиця Сагайдачного
Садівнича вулиця	вулиця Садівнича
Садовиченка вулиця	вулиця Садовиченка
Салатрук вулиця	вулиця Салатрук
Самійленка вулиця	вулиця Самійленка
Сахарова вулиця	вулиця Сахарова
Свободи вулиця	вулиця Свободи
Свободи площа	площа Свободи
Святого Володимира вулиця	вулиця Святого Володимира
Святого Миколая вулиця	вулиця Святого Миколая
Святої Варвари вулиця	вулиця Святої Варвари
Святослава Гординського вулиця	вулиця Святослава Гординського
Святослава Пахолківа вулиця	вулиця Святослава Пахолківа
Северина Наливайка вулиця	вулиця Северина Наливайка
Северина Наливайка провулок	провулок Северина Наливайка
Северина Снігуровича вулиця	вулиця Северина Снігуровича
Семена Височана вулиця	вулиця Семена Височана
Семена Горука вулиця	вулиця Семена Горука
Семена Гулака-Артемовського вулиця	вулиця Семена Гулака-Артемовського
Семена Палія вулиця	вулиця Семена Палія
Семена Соломчака вулиця	вулиця Семена Соломчака
Семенюка вулиця	вулиця Семенюка
Семчука вулиця	вулиця Семчука
Серафимовича вулиця	вулиця Серафимовича
Сергія Городецького вулиця	вулиця Сергія Городецького
Сергія Дідича вулиця	вулиця Сергія Дідича
Сєченова вулиця	вулиця Сєченова
Сиглова вулиця	вулиця Сиглова
Сидора Воробкевича вулиця	вулиця Сидора Воробкевича
Сильвестра Яричевського вулиця	вулиця Сильвестра Яричевського
Симиренка вулиця	вулиця Симиренка
Симиренків вулиця	вулиця Симиренків
Симона Петлюри вулиця	вулиця Симона Петлюри
Симоненка вулиця	вулиця Симоненка
Синенкова вулиця	вулиця Синенкова
Синяка вулиця	вулиця Синяка
Сільвестра Сембратовича вулиця	вулиця Сільвестра Сембратовича
Сірика вулиця	вулиця Сірика
Сірка вулиця	вулиця Сірка
Сірка провулок	провулок Сірка
Січинського вулиця	вулиця Січинського
Січових стрільців вулиця	вулиця Січових Стрільців
Січових Стрільців вулиця	вулиця Січових Стрільців
Січових Стрільців майдан	майдан Січових Стрільців
Січових Стрільців провулок	провулок Січових Стрільців
Сковороди вулиця	вулиця Сковороди
Скородинського вулиця	вулиця Скородинського
Скрипника вулиця	вулиця Скрипника
Скульського вулиця	вулиця Скульського
Слави вулиця	вулиця Слави
Слави Стецько вулиця	вулиця Слави Стецько
Слобода вулиця	вулиця Слобода
Слов’янська вулиця	Словʼянська вулиця
Смеречанського вулиця	вулиця Смеречанського
Смольського вулиця	вулиця Смольського
Соколовської вулиця	вулиця Соколовської
Солов'їна вулиця	Соловʼїна вулиця
Солоджука вулиця	вулиця Солоджука
Сороханка вулиця	вулиця Сороханка
Сосюри вулиця	вулиця Сосюри
Сотника Орлика вулиця	вулиця Сотника Орлика
Сотника Павлюка вулиця	вулиця Сотника Павлюка
Сотника Палієва вулиця	вулиця Сотника Палієва
Сотника Сергія Дідича вулиця	вулиця Сотника Сергія Дідича
Сотника Теодора Мартинця вулиця	вулиця Сотника Теодора Мартинця
Сотні Білого вулиця	вулиця Сотні Білого
Сотні Гамалії вулиця	вулиця Сотні Гамалії
Сотні Кривоноса вулиця	вулиця Сотні Кривоноса
Сотні Мороза вулиця	вулиця Сотні Мороза
Сотні Спартака вулиця	вулиця Сотні Спартака
Сотні Спартана вулиця	вулиця Сотні Спартана
Софії Галечко вулиця	вулиця Софії Галечко
Софіївка вулиця	вулиця Софіївка
Софрона Дмитерка вулиця	вулиця Софрона Дмитерка
Софрона Недільського вулиця	вулиця Софрона Недільського
Сохацького вулиця	вулиця Сохацького
Спартака вулиця	вулиця Спартака
Спартана вулиця	вулиця Спартана
Срібняка вулиця	вулиця Срібняка
Ставничого вулиця	вулиця Ставничого
Станіслава Людкевича вулиця	вулиця Станіслава Людкевича
Станіславського вулиця	вулиця Станіславського
Стара Дорога вулиця	вулиця Стара Дорога
Старицьких вулиця	вулиця Старицьких
Старицького вулиця	вулиця Старицького
Степана Бандери вулиця	вулиця Степана Бандери
Степана Бурдина вулиця	вулиця Степана Бурдина
Степана Васильченка вулиця	вулиця Степана Васильченка
Степана Воробця вулиця	вулиця Степана Воробця
Степана Ленкавського вулиця	вулиця Степана Ленкавського
Степана Радиша вулиця	вулиця Степана Радиша
Степана Руданського вулиця	вулиця Степана Руданського
Степана Стефурака вулиця	вулиця Степана Стефурака
Степана Сулятицького вулиця	вулиця Степана Сулятицького
Степана Тарабалки вулиця	вулиця Степана Тарабалки
Степанюка вулиця	вулиця Степанюка
Стефаника вулиця	вулиця Стефаника
Стефановичів вулиця	вулиця Стефановичів
Стефініних вулиця	вулиця Стефініних
Стефурака вулиця	вулиця Стефурака
Стеценка вулиця	вулиця Стеценка
Страчених вулиця	вулиця Страчених
Страчених Націоналістів вулиця	вулиця Страчених Націоналістів
Стрілецької Слави вулиця	вулиця Стрілецької Слави
Стуса вулиця	вулиця Стуса
Сухомлинського вулиця	вулиця Сухомлинського
Сушинського вулиця	вулиця Сушинського
Тадань вулиця	вулиця Тадань
Танкістів вулиця	вулиця Танкістів
Тараса Мельничука вулиця	вулиця Тараса Мельничука
Тараса Чупринки вулиця	вулиця Тараса Чупринки
Тараса Шевченка вулиця	вулиця Тараса Шевченка
Тараса Шевченка майдан	майдан Тараса Шевченка
Тараса Шевченка площа	площа Тараса Шевченка
Тараса Шевченка провулок	провулок Тараса Шевченка
Тарнавського вулиця	вулиця Тарнавського
Творимір вулиця	вулиця Творимір
Телев’яка вулиця	вулиця Телевʼяка
Теліщука вулиця	вулиця Теліщука
Теодора Примака вулиця	вулиця Теодора Примака
Теодора Цьоклера вулиця	вулиця Теодора Цьоклера
Теофіла Бедрія вулиця	вулиця Теофіла Бедрія
Теофіла Грушкевича вулиця	вулиця Теофіла Грушкевича
Терешкової вулиця	вулиця Терешкової
Терпеливця вулиця	вулиця Терпеливця
Тесленка вулиця	вулиця Тесленка
Тирси вулиця	вулиця Тирси
