??? 2-й Чайковського провулок	2-й провулок Чайковського
1-й Озаринецький тупик	1-й Озаринецький тупик
1-й Озерний провулок	1-й Озерний провулок
1-й Озерний тупик	1-й Озерний тупик
1-й Олександра Герцена провулок	1-й Олександра Герцена провулок
1-й Олександра Довженка в'їзд	1-й Олександра Довженка вʼїзд
1-й Олександра Лотоцького провулок	1-й Олександра Лотоцького провулок
1-й Олександра Невського провулок	1-й Олександра Невського провулок
1-й Олександрівський провулок	1-й Олександрівський провулок
1-й Олександрійський провулок	1-й Олександрійський провулок
1-й Олекси Десняка провулок	1-й Олекси Десняка провулок
1-й Олексіївський в’їзд	1-й Олексіївський вʼїзд
1-й Олексія Алчевського провулок	1-й Олексія Алчевського провулок
1-й Олексія Миргородського провулок	1-й Олексія Миргородського провулок
1-й Олексія Миргородського проїзд	1-й Олексія Миргородського проїзд
1-й Олеся Гончара провулок	1-й Олеся Гончара провулок
1-й Омеляна Грабця провулок	1-й Омеляна Грабця провулок
1-й Омський в’їзд	1-й Омський вʼїзд
1-й Омський провулок	1-й Омський провулок
1-й Онезький проїзд	1-й Онезький проїзд
1-й Опанаса Сластіона провулок	1-й Опанаса Сластіона провулок
1-й Орджонікідзе провулок	1-й Орджонікідзе провулок
1-й Орловський проїзд	1-й Орловський проїзд
1-й Оружейний провулок	1-й Оружейний провулок
1-й Осипенко провулок	1-й Осипенко провулок
1-й Осінній провулок	1-й Осінній провулок
1-й Осінній проїзд	1-й Осінній проїзд
1-й Островського провулок	1-й Островського провулок
1-й Офіцерський провулок	1-й Офіцерський провулок
1-й Охтирський провулок	1-й Охтирський провулок
1-й Павленка провулок	1-й Павленка провулок
1-й Павликівський провулок	1-й Павликівський провулок
1-й Паравозний провулок	1-й Паравозний провулок
1-й Парковий провулок	1-й Парковий провулок
1-й Парковий проїзд	1-й Парковий проїзд
1-й Парниковий провулок	1-й Парниковий провулок
1-й Паровозний провулок	1-й Паровозний провулок
1-й Партизанський провулок	1-й Партизанський провулок
1-й Пархоменка провулок	1-й Пархоменка провулок
1-й Пасічний провулок	1-й Пасічний провулок
1-й Переїзний провулок	1-й Переїзний провулок
1-й Перекопський провулок	1-й Перекопський провулок
1-й Перемоги провулок	1-й Перемоги провулок
1-й Пересипський провулок	1-й Пересипський провулок
1-й Першотравневий провулок	1-й Першотравневий провулок
1-й Пестеля провулок	1-й Пестеля провулок
1-й Петера Новотні провулок	1-й Петера Новотні провулок
1-й Петра Вовни провулок	1-й Петра Вовни провулок
1-й Петра Волинця провулок	1-й Петра Волинця провулок
1-й Петра Сагайдачного провулок	1-й Петра Сагайдачного провулок
1-й Петренківський в’їзд	1-й Петренківський вʼїзд
1-й Петренківський провулок	1-й Петренківський провулок
1-й Петренківський проїзд	1-й Петренківський проїзд
1-й Петрівський провулок	1-й Петрівський провулок
1-й Петровский проезд	1-й Петровский проезд
1-й Петровский тупик	1-й Петровский тупик
1-й Петровського в’їзд	1-й Петровського вʼїзд
1-й Петровського провулок	1-й Петровського провулок
1-й Петропавлівський провулок	1-й Петропавлівський провулок
1-й Печерський провулок	1-й Печерський провулок
1-й Пилипа Орлика провулок	1-й Пилипа Орлика провулок
1-й Пирогова провулок	1-й Пирогова провулок
1-й Південний провулок	1-й Південний провулок
1-й Північний провулок	1-й Північний провулок
1-й Північно-Кільцевої провулок	1-й Північно-Кільцевої провулок
1-й Північно-Лінійний провулок	1-й Північно-Лінійний провулок
1-й Північно-Озерний провулок	1-й Північно-Озерний провулок
1-й Підгірний в’їзд	1-й Підгірний вʼїзд
1-й Піонерський провулок	1-й Піонерський провулок
1-й Піонтковського провулок	1-й Піонтковського провулок
1-й Пічугінський провулок	1-й Пічугінський провулок
1-й Піщаний в'їзд	1-й Піщаний вʼїзд
1-й Піщаний провулок	1-й Піщаний провулок
1-й Піщаний тупик	1-й Піщаний тупик
1-й Плідний провулок	1-й Плідний провулок
1-й Подолянський провулок	1-й Подолянський провулок
1-й Покровський провулок	1-й Покровський провулок
1-й Покровського провулок	1-й Покровського провулок
1-й Покровської вулиці провулок	1-й провулок Покровської вулиці
1-й Поліський провулок	1-й Поліський провулок
1-й Полтавський провулок	1-й Полтавський провулок
1-й Полтавської вулиці провулок	1-й Полтавської вулиці провулок
1-й Полубудкіна провулок	1-й Полубудкіна провулок
1-й Польовий провулок	1-й Польовий провулок
1-й Польовий проїзд	1-й Польовий проїзд
1-й Польового Майдану проїзд	1-й Польового Майдану проїзд
1-й Польський провулок	1-й Польський провулок
1-й Поперечний провулок	1-й Поперечний провулок
1-й Поповича провулок	1-й Поповича провулок
1-й Постишева провулок	1-й Постишева провулок
1-й Постишева проїзд	1-й Постишева проїзд
1-й Постніковський провулок	1-й Постніковський провулок
1-й Посульський Узвіз тупик	1-й Посульський Узвіз тупик
1-й Поштовий провулок	1-й Поштовий провулок
1-й Поштовий тупик	1-й Поштовий тупик
1-й Праведників світу проїзд	1-й Праведників світу проїзд
1-й Праці провулок	1-й Праці провулок
1-й Приамурський провулок	1-й Приамурський провулок
1-й Прибережний провулок	1-й Прибережний провулок
1-й Прибузький провулок	1-й Прибузький провулок
1-й Придунайський провулок	1-й Придунайський провулок
1-й Приморський провулок	1-й Приморський провулок
1-й Приорільський провулок	1-й Приорільський провулок
1-й приуданський провулок	1-й приуданський провулок
1-й провулок	1-й провулок
1-й провулок Битий Шлях	1-й провулок Битий Шлях
1-й провулок Волi	1-й провулок Волі
1-й провулок Гайдамаків	1-й провулок Гайдамаків
1-й провулок Грушевського 	1-й провулок Грушевського 
1-й провулок Карла Маркса	1-й провулок Карла Маркса
1-й провулок Надрічної	1-й провулок Надрічної
1-й провулок Олексія Дем'янюка	1-й провулок Олексія Демʼянюка
1-й провулок Радянської вулиці	1-й провулок Радянської вулиці
1-й провулок Шевченка	1-й провулок Шевченка
1-й проезд 21-го МЮДа	1-й проезд 21-го МЮДа
1-й проезд Бабушкина	1-й проезд Бабушкина
1-й проезд Верхоянской улици	1-й проезд Верхоянской улици
1-й проезд Восточной  улицы	1-й проезд Восточной  улицы
1-й проезд Восточной улицы	1-й проезд Восточной улицы
1-й проезд Озен-Бою	1-й проезд Озен-Бою
1-й проезд Репина	1-й проезд Репина
1-й проезд улицы Бойкая	1-й проезд улицы Бойкая
1-й проезд улицы Сеченова	1-й проезд улицы Сеченова
1-й проєктний провулок	1-й проєктний провулок
1-й Проїзд проїзд	1-й Проїзд проїзд
1-й Проїзний провулок	1-й Проїзний провулок
1-й Пролетарський провулок	1-й Пролетарський провулок
1-й Пролісковий проїзд	1-й Пролісковий проїзд
1-й Промисловий провулок	1-й Промисловий провулок
1-й Прорізний провулок	1-й Прорізний провулок
1-й Проспект вулиця	1-й Проспект вулиця
1-й Просужого провулок	1-й Просужого провулок
1-й Протипохилий провулок	1-й Протипохилий провулок
1-й Професійний провулок	1-й Професійний провулок
1-й Професора Голуба провулок	1-й Професора Голуба провулок
1-й Профсоюзный проезд	1-й Профсоюзный проезд
1-й Прудний провулок	1-й Прудний провулок
1-й Пушкіна провулок	1-й Пушкіна провулок
1-й Пушкіна провулокь	1-й Пушкіна провулокь
1-й Радищева провулок	1-й Радищева провулок
1-й Радіальний провулок	1-й Радіальний провулок
1-й Раднаркомівський провулок	1-й Раднаркомівський провулок
1-й Радянський провулок	1-й Радянський провулок
1-й Радянської вулиці провулок	1-й Радянської вулиці провулок
1-й Райгородський провулок	1-й Райгородський провулок
1-й Раскової провулок	1-й Раскової провулок
1-й Рахматуліна провулок	1-й Рахматуліна провулок
1-й Революційний провулок	1-й Революційний провулок
1-й Рембудівський проїзд	1-й Рембудівський проїзд
1-й Республіканський провулок	1-й Республіканський провулок
1-й Рибінський тупик	1-й Рибінський тупик
1-й Рилєєва провулок	1-й Рилєєва провулок
1-й Рівний провулок	1-й Рівний провулок
1-й Річковий провулок	1-й Річковий провулок
1-й Річний провулок	1-й Річний провулок
1-й Робітничий провулок	1-й Робітничий провулок
1-й Робочий провулок	1-й Робочий провулок
1-й Рогатинський провулок	1-й Рогатинський провулок
1-й Рогизнянський провулок	1-й Рогизнянський провулок
1-й Рожевий проїзд	1-й Рожевий проїзд
1-й Роздільний провулок	1-й Роздільний провулок
1-й Рози Люксембург провулок	1-й Рози Люксембург провулок
1-й Розумовський провулок	1-й Розумовський провулок
1-й Рокитнянський провулок	1-й Рокитнянський провулок
1-й Романа Балаби провулок	1-й Романа Балаби провулок
1-й Романківський провулок	1-й Романківський провулок
1-й Ромашковий проїзд	1-й Ромашковий проїзд
1-й Роменський в’їзд	1-й Роменський вʼїзд
1-й Роменської вулиці провулок	1-й Роменської вулиці провулок
1-й Руданського провулок	1-й Руданського провулок
1-й Рудниковий провулок	1-й Рудниковий провулок
1-й Руднянський провулок	1-й Руднянський провулок
1-й Русанівської вулиці провулок	1-й Русанівської вулиці провулок
1-й Рятувальників провулок	1-й Рятувальників провулок
1-й Сагайдачного провулок	1-й Сагайдачного провулок
1-й Саговський провулок	1-й Саговський провулок
1-й Садівничий проїзд	1-й Садівничий проїзд
1-й Садовий провулок	1-й Садовий провулок
1-й Садово-проїзний провулок	1-й Садово-проїзний провулок
1-й Садової вулици провулок	1-й Садової вулици провулок
1-й Садової провулок	1-й Садової провулок
1-й Самаркандський в’їзд	1-й Самаркандський вʼїзд
1-й Санаторний провулок	1-й Санаторний провулок
1-й Сарнавської провулок	1-й Сарнавської провулок
1-й Свердлова провулок	1-й Свердлова провулок
1-й Світанкової вулиці провулок	1-й Світанкової вулиці провулок
1-й Свободи провулок	1-й Свободи провулок
1-й Свято-Миколаївська провулок	1-й Свято-Миколаївська провулок
1-й Святошинський провулок	1-й Святошинський провулок
1-й Севастопольський провулок	1-й Севастопольський провулок
1-й Селянський провулок	1-й Селянський провулок
1-й Семена Галицького провулок	1-й Семена Галицького провулок
1-й Семена Гаркуші провулок	1-й Семена Гаркуші провулок
1-й Семена Палія провулок	1-й Семена Палія провулок
1-й Семенівський провулок	1-й Семенівський провулок
1-й Серафимовича провулок	1-й Серафимовича провулок
1-й Силікатний провулок	1-й Силікатний провулок
1-й Симона Петлюри провулок	1-й Симона Петлюри провулок
1-й Сирітський провулок	1-й Сирітський провулок
1-й Сичівський в’їзд	1-й Сичівський вʼїзд
1-й Сільскогосподарський провулок	1-й Сільскогосподарський провулок
1-й Сінний провулок	1-й Сінний провулок
1-й Січових стрільців провулок	1-й Січових стрільців провулок
1-й Січових Стрільців провулок	1-й Січових Стрільців провулок
1-й Скіфський провулок	1-й Скіфський провулок
1-й Скляний провулок	1-й Скляний провулок
1-й Скнилівський провулок	1-й Скнилівський провулок
1-й Сковороди провулок	1-й Сковороди провулок
1-й Слов’янський провулок	1-й Словʼянський провулок
1-й Смілянський провулок	1-й Смілянський провулок
1-й Смоківський провулок	1-й Смоківський провулок
1-й Смолянський провулок	1-й Смолянський провулок
1-й Соборний провулок	1-й Соборний провулок
1-й Соколовський провулок	1-й Соколовський провулок
1-й Солонцюватий провулок	1-й Солонцюватий провулок
1-й Соляний провулок	1-й Соляний провулок
1-й Сонячний провулок	1-й Сонячний провулок
1-й Сосновий провулок	1-й Сосновий провулок
1-й Софії Русової провулок	1-й Софії Русової провулок
1-й Софіївський провулок	1-й Софіївський провулок
1-й Сочинський провулок	1-й Сочинський провулок
1-й Спартаківський провулок	1-й Спартаківський провулок
1-й Спасо-Преображенський провулок	1-й Спасо-Преображенський провулок
1-й Спаський проїзд	1-й Спаський проїзд
1-й Старий Шлях провулок	1-й Старий Шлях провулок
1-й Старовський в’їзд	1-й Старовський вʼїзд
1-й Старокиївський провулок	1-й Старокиївський провулок
1-й Старокиївський проїзд	1-й Старокиївський проїзд
1-й Староленківський провулок	1-й Староленківський провулок
1-й Староруднянський провулок	1-й Староруднянський провулок
1-й Стаханівський провулок	1-й Стаханівський провулок
1-й Стахановський провулок	1-й Стахановський провулок
1-й Степанюка провулок	1-й Степанюка провулок
1-й Степной проезд	1-й Степной проезд
1-й Степовий провулок	1-й Степовий провулок
1-й Стеценка провулок	1-й Стеценка провулок
1-й Стрийський провулок	1-й Стрийський провулок
1-й Стрілецький в’їзд	1-й Стрілецький вʼїзд
1-й Студентський провулок	1-й Студентський провулок
1-й Суворова вулиці провулок	1-й Суворова вулиці провулок
1-й Суворова провулок	1-й Суворова провулок
1-й Сумський провулок	1-й Сумський провулок
1-й Суничний проїзд	1-й Суничний проїзд
1-й Сурикова провулок	1-й Сурикова провулок
1-й Східний провулок	1-й Східний провулок
1-й Східно-дальній провулок	1-й Східно-дальній провулок
1-й Східчастий провулок	1-й Східчастий провулок
1-й Таврійський провулок	1-й Таврійський провулок
1-й Таганський провулок	1-й Таганський провулок
1-й Таловий провулок	1-й Таловий провулок
1-й Танкистів провулок	1-й Танкистів провулок
1-й Танкістів провулок	1-й Танкістів провулок
1-й Танковий проїзд	1-й Танковий проїзд
1-й Тараса Шевченка провулок	1-й Тараса Шевченка провулок
1-й Театральний провулок	1-й Театральний провулок
1-й Текстильників провулок	1-й Текстильників провулок
1-й Тельмана провулок	1-й Тельмана провулок
1-й Тепличний провулок	1-й Тепличний провулок
1-й Терновий провулок	1-й Терновий провулок
1-й Тетерівський провулок	1-й Тетерівський провулок
1-й Тетяни Яблонської провулок	1-й Тетяни Яблонської провулок
1-й Технологів проїзд	1-й Технологів проїзд
1-й Тираспільський в’їзд	1-й Тираспільський вʼїзд
1-й Тімірязєва провулок	1-й Тімірязєва провулок
1-й Тіняковський провулок	1-й Тіняковський провулок
1-й Товариський провулок	1-й Товариський провулок
1-й Товариський проїзд	1-й Товариський проїзд
1-й Толстого провулок	1-й Толстого провулок
1-й Толстого тупик	1-й Толстого тупик
1-й Топольний провулок	1-й Топольний провулок
1-й Топольського провулок	1-й Топольського провулок
1-й Тракторний провулок	1-й Тракторний провулок
1-й Тракторної вулиці провулок	1-й Тракторної вулиці провулок
1-й Трамвайний провулок	1-й Трамвайний провулок
1-й Транзитний провулок	1-й Транзитний провулок
1-й Трипільський провулок	1-й Трипільський провулок
1-й Троїцький провулок	1-й Троїцький провулок
1-й Тропініна провулок	1-й Тропініна провулок
1-й Трояндовий провулок	1-й Трояндовий провулок
1-й Трублаїні провулок	1-й Трублаїні провулок
1-й Трубний провулок	1-й Трубний провулок
1-й Трудовий провулок	1-й Трудовий провулок
1-й Трутовського провулок	1-й Трутовського провулок
1-й Тупик провулок	1-й Тупик провулок
1-й тупик улицы Боженко	1-й тупик улицы Боженко
1-й тупик улицы Гоженко	1-й тупик улицы Гоженко
1-й Тупиковий провулок	1-й Тупиковий провулок
1-й Тухачевського провулок	1-й Тухачевського провулок
1-й Тясминський провулок	1-й Тясминський провулок
1-й Удайський провулок	1-й Удайський провулок
1-й Ударний провулок	1-й Ударний провулок
1-й Удянський в’їзд	1-й Удянський вʼїзд
1-й Український провулок	1-й Український провулок
1-й Ульянова провулок	1-й Ульянова провулок
1-й Уманський провулок	1-й Уманський провулок
1-й Упорний провулок	1-й Упорний провулок
1-й Успенський провулок	1-й Успенський провулок
1-й Успенсько-Троїцької провулок	1-й Успенсько-Троїцької провулок
1-й Устима Кармелюка провулок	1-й Устима Кармелюка провулок
1-й Учительський провулок	1-й Учительський провулок
1-й Ушакова провулок	1-й Ушакова провулок
1-й Ушинського провулок	1-й Ушинського провулок
1-й Фабричний провулок	1-й Фабричний провулок
1-й Фіалковий провулок	1-й Фіалковий провулок
1-й Фізкультурний провулок	1-й Фізкультурний провулок
1-й Франка провулок	1-й Франка провулок
1-й Фруктовий провулок	1-й Фруктовий провулок
1-й Фрунзе провулок	1-й Фрунзе провулок
1-й Фурманова провулок	1-й Фурманова провулок
1-й Харківський провулок	1-й Харківський провулок
1-й Харчовиків проїзд	1-й Харчовиків проїзд
1-й Хвойний провулок	1-й Хвойний провулок
1-й Хіміків проїзд	1-й Хіміків проїзд
1-й Хімічний провулок	1-й Хімічний провулок
1-й Хлібний провулок	1-й Хлібний провулок
1-й Хмельницького шосе провулок	1-й Хмельницького шосе провулок
1-й Хмельовий провулок	1-й Хмельовий провулок
1-й Ходорівський провулок	1-й Ходорівський провулок
1-й Хорольський тупик	1-й Хорольський тупик
1-й Хотинський провулок	1-й Хотинський провулок
1-й Хуторський проїзд	1-й Хуторський проїзд
1-й Цегельний провулок	1-й Цегельний провулок
1-й Центральний провулок	1-й Центральний провулок
1-й Центральної вулиці тупик	1-й Центральної вулиці тупик
1-й Цимлянський тупик	1-й Цимлянський тупик
1-й Цукровиків проїзд	1-й Цукровиків проїзд
1-й Чайковського провулок	1-й Чайковського провулок
1-й Чапаєва провулок	1-й Чапаєва провулок
1-й Чапаєвський провулок	1-й Чапаєвський провулок
1-й Челюскінців в’їзд	1-й Челюскінців вʼїзд
1-й Челюскінців провулок	1-й Челюскінців провулок
1-й Червоний провулок	1-й Червоний провулок
1-й Червоноармійський провулок	1-й Червоноармійський провулок
1-й Червоногірської провулок	1-й Червоногірської провулок
1-й Червонопрапорний тупик	1-й Червонопрапорний тупик
1-й Червоностудентський провулок	1-й Червоностудентський провулок
1-й Черемховий проїзд	1-й Черемховий проїзд
1-й Черемшиновий провулок	1-й Черемшиновий провулок
1-й Чернишевського вулиці провулок	1-й Чернишевського вулиці провулок
1-й Чернишевського провулок	1-й Чернишевського провулок
1-й Чернігівський провулок	1-й Чернігівський провулок
1-й Чернігівсьуий провулок	1-й Чернігівсьуий провулок
1-й Черняховського провулок	1-й Черняховського провулок
1-й Черняховського проїзд	1-й Черняховського проїзд
1-й Чехова провулок	1-й Чехова провулок
1-й Чехова проїзд	1-й Чехова проїзд
1-й Чигиринський провулок	1-й Чигиринський провулок
1-й Чкалова провулок	1-й Чкалова провулок
1-й Чкалова тупик	1-й Чкалова тупик
1-й Чоботарський в’їзд	1-й Чоботарський вʼїзд
1-й Чорнобаївський провулок	1-й Чорнобаївський провулок
1-й Чорноморський провулок	1-й Чорноморський провулок
1-й Чугуївський в’їзд	1-й Чугуївський вʼїзд
1-й Чугуївський провулок	1-й Чугуївський провулок
1-й Чумацький провулок	1-й Чумацький провулок
1-й Чумацький проїзд	1-й Чумацький проїзд
1-й Чхаїдзе провулок	1-й Чхаїдзе провулок
1-й Шаргородський провулок	1-й Шаргородський провулок
1-й Шатрищанський провулок	1-й Шатрищанський провулок
1-й Шаумяна проїзд	1-й Шаумяна проїзд
1-й Шахтарський тупик	1-й Шахтарський тупик
1-й Шевченка вулиці провулок	1-й Шевченка вулиці провулок
1-й Шевченка провулок	1-й Шевченка провулок
1-й Шевченка проїзд	1-й Шевченка проїзд
1-й Шевченківський провулок	1-й Шевченківський провулок
1-й Шипинський провулок	1-й Шипинський провулок
1-й Широкий провулок	1-й Широкий провулок
1-й Шишкіна провулок	1-й Шишкіна провулок
1-й Шкільний провулок	1-й Шкільний провулок
1-й Шкільної вулиці провулок	1-й Шкільної вулиці провулок
1-й Шовковичний в’їзд	1-й Шовковичний вʼїзд
1-й Шосейний провулок	1-й Шосейний провулок
1-й Штепіна провулок	1-й Штепіна провулок
1-й Щасливий провулок	1-й Щасливий провулок
1-й Щасливої вулиці провулок	1-й Щасливої вулиці провулок
1-й Щасливої провулок	1-й Щасливої провулок
1-й Щедрий провулок	1-й Щедрий провулок
1-й Щепкіна вулиці провулок	1-й Щепкіна вулиці провулок
1-й Щорса провулок	1-й Щорса провулок
1-й Щорса тупик	1-й Щорса тупик
1-й Ювілейний провулок	1-й Ювілейний провулок
1-й Южный проезд	1-й Южный проезд
1-й Юннатів провулок	1-й Юннатів провулок
1-й Юності провулок	1-й Юності провулок
1-й Юрія Гагаріна провулок	1-й Юрія Гагаріна провулок
1-й Юрія Левади проїзд	1-й Юрія Левади проїзд
1-й Ющенка провулок	1-й Ющенка провулок
1-й Яблуневий провулок	1-й Яблуневий провулок
1-й Яблуневої вулици провулок	1-й Яблуневої вулици провулок
1-й Ягідний проїзд	1-й Ягідний проїзд
1-й Якова Батюка провулок	1-й Якова Батюка провулок
1-й Якова Степового провулок	1-й Якова Степового провулок
1-й Ялинівський провулок	1-й Ялинівський провулок
1-й Ялтинський провулок	1-й Ялтинський провулок
1-й Ярмарковий провулок	1-й Ярмарковий провулок
1-й Ярослава Мудрого провулок	1-й Ярослава Мудрого провулок
1-й Ясеновий провулок	1-й Ясеновий провулок
1-й Яснополянський провулок	1-й Яснополянський провулок
1-ліна вулиця	1-ліна вулиця
1-ша Лінія вулиця	1-ша Лінія вулиця
1-ша Садова вулиця	1-ша Садова вулиця
1-я аллея	1-я аллея
1-a Поперечна вулиця	1-ша Поперечна вулиця
10 лінія вулиця	10 лінія вулиця
10 лінія Сави Освященного вулиця	10 лінія Сави Освященного вулиця
10 микрорайон	10 микрорайон
10 років Жовтню вулиця	10 років Жовтню вулиця
10 років Жовтню провулок	10 років Жовтню провулок
10 років Жовтню проїзд	10 років Жовтню проїзд
10 ряд Нижній Шувар	10 ряд Нижній Шувар
10-а А лінія	10-а А лінія
10-а Абрикосова вулиця	10-а Абрикосова вулиця
10-а Вишнева вулиця	10-а Вишнева вулиця
10-а Воєнна вулиця	10-а Воєнна вулиця
10-а вулиця	10-а вулиця
10-а Дачна вулиця	10-а Дачна вулиця
10-а Ентузіастів вулиця	10-а Ентузіастів вулиця
10-а Західна вулиця	10-а Західна вулиця
10-а Ірпінська вулиця	10-а Ірпінська вулиця
10-а Канальна вулиця	10-а Канальна вулиця
10-а Козацька вулиця	10-а Козацька вулиця
10-а лінія	10-а лінія
10-а лінія 6-ї ст. Люстдорфської дороги вулиця	10-а лінія 6-ї ст. Люстдорфської дороги вулиця
10-а лінія вулиця	10-а лінія вулиця
10-а Лінія вулиця	10-а Лінія вулиця
10-а Лінія Дачі Ковалевського вулиця	10-а Лінія Дачі Ковалевського вулиця
10-а Лугова вулиця	10-а Лугова вулиця
10-а Набережна вулиця	10-а Набережна вулиця
10-а Олександрівка вулиця	10-а Олександрівка вулиця
10-а Південна вулиця	10-а Південна вулиця
10-а Північна вулиця	10-а Північна вулиця
10-а Повздовжня вулиця	10-а Повздовжня вулиця
10-а Садова вулиця	10-а Садова вулиця
10-а Слобідська вулиця	10-а Слобідська вулиця
10-а Степова вулиця	10-а Степова вулиця
10-а Суворівська вулиця	10-а Суворівська вулиця
10-а Східна вулиця	10-а Східна вулиця
10-а Текстильна вулиця	10-а Текстильна вулиця
10-а Центральна вулиця	10-а Центральна вулиця
10-ї Гвардійської Дивізії вулиця	10-ї Гвардійської Дивізії вулиця
10-ї Дивізії вулиця	10-ї Дивізії вулиця
10-ї Окремої Гірсько-Штурмової Бригади вулиця	10-ї Окремої Гірсько-Штурмової Бригади вулиця
10-ї П’ятирічки провулок	10-ї Пʼятирічки провулок
10-ї річниці Незалежності України вулиця	10-ї річниці Незалежності України вулиця
10-ї річниця Незалежності України вулиця	10-ї річниця Незалежності України вулиця
10-й Аеродромний проїзд	10-й Аеродромний проїзд
10-й Дачний провулок	10-й Дачний провулок
10-й Заярний провулок	10-й Заярний провулок
10-й Каштановий провулок	10-й Каштановий провулок
10-й квартал	10-й квартал
10-й Ленінський провулок	10-й Ленінський провулок
10-й микрорайон	10-й микрорайон
10-й Озерний провулок	10-й Озерний провулок
10-й Північно-Озерний провулок	10-й Північно-Озерний провулок
10-й Піонерський провулок	10-й Піонерський провулок
10-й провулок	10-й провулок
10-й Січовий проїзд	10-й Січовий проїзд
10-й Скнилівський провулок	10-й Скнилівський провулок
10-й Софіївський проїзд	10-й Софіївський проїзд
10-й Тракторний провулок	10-й Тракторний провулок
10-й Хорольський тупик	10-й Хорольський тупик
10-р Незалежності України вулиця	10-р Незалежності України вулиця
10-річчя Конституції України вулиця	10-річчя Конституції України вулиця
10-та Лінія вулиця	10-та Лінія вулиця
100 років Нафтовиків вулиця	100 років Нафтовиків вулиця
100 років Червоного Хреста вулиця	100 років Червоного Хреста вулиця
100-а Садова вулиця	100-а Садова вулиця
100-й квартал	100-й квартал
100-й квартал вулиця	100-й квартал вулиця
100-річчя Маневич вулиця	100-річчя Маневич вулиця
100-річчя Червоного Хреста вулиця	100-річчя Червоного Хреста вулиця
1000-ліття Дубровиці вулиця	1000-ліття Дубровиці вулиця
101-а Садова вулиця	101-а Садова вулиця
101-й квартал	101-й квартал
102-а Садова вулиця	102-а Садова вулиця
102-й квартал	102-й квартал
102-й Кілометр вулиця	102-й Кілометр вулиця
103-й квартал	103-й квартал
103-я Садова вулиця	103-я Садова вулиця
104-а Садова вулиця	104-а Садова вулиця
105-а Садова вулиця	105-а Садова вулиця
106-а Садова вулиця	106-а Садова вулиця
107-а Садова вулиця	107-а Садова вулиця
107-ї Кременецької Дивізії вулиця	107-ї Кременецької Дивізії вулиця
108-а Садова вулиця	108-а Садова вулиця
108-ї Гвардійської Дивізії вулиця	108-ї Гвардійської Дивізії вулиця
109-а Садова вулиця	109-а Садова вулиця
10а Ірпінська вулиця	10а Ірпінська вулиця
10б Ірпінська вулиця	10б Ірпінська вулиця
11 лінія вулиця	11 лінія вулиця
11 ряд Нижній Шувар	11 ряд Нижній Шувар
11-а А лінія	11-а А лінія
11-а Абрикосова вулиця	11-а Абрикосова вулиця
11-а аллея	11-а аллея
11-а Вишнева вулиця	11-а Вишнева вулиця
11-а Воєнна вулиця	11-а Воєнна вулиця
11-а вулиця	11-а вулиця
11-а Дачна вулиця	11-а Дачна вулиця
11-а Ентузіастів вулиця	11-а Ентузіастів вулиця
11-а Канальна вулиця	11-а Канальна вулиця
11-а Козацька вулиця	11-а Козацька вулиця
11-а лінія	11-а лінія
11-а лінія 6-ї ст. Люстдорфської дороги вулиця	11-а лінія 6-ї ст. Люстдорфської дороги вулиця
11-а лінія вулиця	11-а лінія вулиця
11-а Лінія вулиця	11-а Лінія вулиця
11-а Лугова вулиця	11-а Лугова вулиця
11-а Набережна вулиця	11-а Набережна вулиця
11-а Олександрівка вулиця	11-а Олександрівка вулиця
11-а Південна вулиця	11-а Південна вулиця
11-а Північна вулиця	11-а Північна вулиця
11-а Повздовжня вулиця	11-а Повздовжня вулиця
11-а Садова вулиця	11-а Садова вулиця
11-а станція Люстдорфської дороги	11-а станція Люстдорфської дороги
11-а Степова вулиця	11-а Степова вулиця
11-а Суворівська вулиця	11-а Суворівська вулиця
11-а Суворовська вулиця	11-а Суворовська вулиця
11-а Східна вулиця	11-а Східна вулиця
11-а Текстильна вулиця	11-а Текстильна вулиця
11-а Центральна вулиця	11-а Центральна вулиця
11-й Аеродромний провулок	11-й Аеродромний провулок
11-й Дачний провулок	11-й Дачний провулок
11-й км Смілянського шосе	11-й км Смілянського шосе
11-й Ленінський провулок	11-й Ленінський провулок
11-й Лутугінський проїзд	11-й Лутугінський проїзд
11-й Північно-Озерний провулок	11-й Північно-Озерний провулок
11-й провулок	11-й провулок
11-й Січовий проїзд	11-й Січовий проїзд
11-й Софіївський проїзд	11-й Софіївський проїзд
11-й Чорноморський провулок	11-й Чорноморський провулок
